white_to_move,fullmove_number,halfmove_clock,w_p,b_p,diff_p,w_n,b_n,diff_n,w_b,b_b,diff_b,w_r,b_r,diff_r,w_q,b_q,diff_q,material_balance,total_material,bishop_pair_w,bishop_pair_b,king_distance,wk_file,wk_rank,bk_file,bk_rank,wk_center_dist,bk_center_dist,mobility_stm,mobility_other,in_check,w_passed_pawns,b_passed_pawns,w_isolated_pawns,b_isolated_pawns,w_doubled_pawns,b_doubled_pawns,w_most_advanced_pawn,b_most_advanced_pawn,w_rooks_open_file,b_rooks_open_file,w_rooks_7th,b_rooks_2nd,wk_pawn_shield,bk_pawn_shield,w_center_control,b_center_control,w_attackers_near_bk,b_attackers_near_wk,confirmed_optimal,fen,played_move
0,11,0,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,40,47,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,3,3,0,0,1,r3kb1r/pp1b1ppp/1q2pn2/n2p4/P2P1B2/2PB1N2/1PQ2PPP/RN2K2R b KQkq - 0 11,Rc8
1,12,1,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,47,43,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,3,3,0,0,1,2r1kb1r/pp1b1ppp/1q2pn2/n2p4/P2P1B2/2PB1N2/1PQ2PPP/RN2K2R w KQk - 1 12,Nbd2
0,12,2,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,43,49,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,3,3,0,0,1,2r1kb1r/pp1b1ppp/1q2pn2/n2p4/P2P1B2/2PB1N2/1PQN1PPP/R3K2R b KQk - 2 12,Nc6
1,13,3,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,50,40,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,3,4,0,0,1,2r1kb1r/pp1b1ppp/1qn1pn2/3p4/P2P1B2/2PB1N2/1PQN1PPP/R3K2R w KQk - 3 13,Qb1
0,8,2,8,8,0,2,2,0,2,2,0,2,2,0,1,1,0,0,78,1,1,7,6,0,6,7,5,5,32,38,0,0,0,0,0,0,0,3,4,0,0,0,0,2,2,4,3,0,0,1,r1bq1rk1/pp1pnpbp/2n1p1p1/2p5/2P5/2NP1NP1/PP1BPPBP/R2Q1RK1 b - - 2 8,d5
1,9,0,8,8,0,2,2,0,2,2,0,2,2,0,1,1,0,0,78,1,1,7,6,0,6,7,5,5,39,34,0,0,0,0,0,0,0,3,4,0,0,0,0,2,2,4,4,0,0,1,r1bq1rk1/pp2npbp/2n1p1p1/2pp4/2P5/2NP1NP1/PP1BPPBP/R2Q1RK1 w - - 0 9,a3
0,9,0,8,8,0,2,2,0,2,2,0,2,2,0,1,1,0,0,78,1,1,7,6,0,6,7,5,5,34,40,0,0,0,0,0,0,0,3,4,0,0,0,0,2,2,4,4,0,0,1,r1bq1rk1/pp2npbp/2n1p1p1/2pp4/2P5/P1NP1NP1/1P1BPPBP/R2Q1RK1 b - - 0 9,b6
1,10,0,8,8,0,2,2,0,2,2,0,2,2,0,1,1,0,0,78,1,1,7,6,0,6,7,5,5,40,33,0,0,0,0,0,0,0,3,4,0,0,0,0,2,2,4,4,0,0,1,r1bq1rk1/p3npbp/1pn1p1p1/2pp4/2P5/P1NP1NP1/1P1BPPBP/R2Q1RK1 w - - 0 10,Rb1
0,10,1,8,8,0,2,2,0,2,2,0,2,2,0,1,1,0,0,78,1,1,7,6,0,6,7,5,5,33,37,0,0,0,0,0,0,0,3,4,0,0,0,0,2,2,4,4,0,0,0,r1bq1rk1/p3npbp/1pn1p1p1/2pp4/2P5/P1NP1NP1/1P1BPPBP/1R1Q1RK1 b - - 1 10,Bb7
1,11,2,8,8,0,2,2,0,2,2,0,2,2,0,1,1,0,0,78,1,1,7,6,0,6,7,5,5,37,36,0,0,0,0,0,0,0,3,4,0,0,0,0,2,2,4,4,0,0,1,r2q1rk1/pb2npbp/1pn1p1p1/2pp4/2P5/P1NP1NP1/1P1BPPBP/1R1Q1RK1 w - - 2 11,b4
