gene,chRCC_mean,onco_mean,norm_mean,diff_ch_oc,p_mwu
TRIM13,0.5646692890442891,0.6693735431235431,0.601639209146346,-0.10470425407925399,1.6053092802023668e-05
CUL3,0.7469682400932401,0.8550961538461539,0.2483657682093615,-0.10812791375291375,1.6053092802023668e-05
LYPLAL1,0.8588723776223777,0.9440384615384615,0.9435364486941666,-0.08516608391608382,1.6053092802023668e-05
SIGIRR,0.850402097902098,0.5362820512820512,0.6504954342127375,0.3141200466200468,1.6053092802023668e-05
NUDT13,0.12252768065268062,0.23203379953379955,0.43454509644830874,-0.10950611888111893,1.6053092802023668e-05
TMEM177,0.31852564102564096,0.49272435897435896,0.7563268613437149,-0.174198717948718,1.6053092802023668e-05
TTC30B,0.048761655011654956,0.07369463869463866,0.49389283806681655,-0.024932983682983703,1.6053092802023668e-05
XRCC5,0.8910547785547785,0.9387762237762236,0.8423880175245737,-0.04772144522144506,1.6053092802023668e-05
TMC5,0.523346445221445,0.2449912587412587,0.21015573236169635,0.2783551864801863,1.6053092802023668e-05
HDDC2,0.9205215617715617,0.967791375291375,0.9756516321980325,-0.0472698135198133,1.6053092802023668e-05
ATP6V0A4,0.9786363636363635,0.9915180652680653,0.9380977509844994,-0.01288170163170177,1.9269461613073766e-05
LAMTOR5,0.9083100233100233,0.9581293706293706,0.9880843174760845,-0.04981934731934734,1.9310609710004882e-05
BET1L,0.8768123543123544,0.7705623543123542,0.5622870574836416,0.10625000000000018,1.9351827710442468e-05
COA5,0.6148688811188812,0.7457226107226108,0.8960556864415763,-0.13085372960372965,1.9351827710442468e-05
TEX2,0.7197785547785549,0.807217365967366,0.8823128326934132,-0.08743881118881114,1.9351827710442468e-05
NACC1,0.75631993006993,0.6233886946386946,0.39942583793515746,0.13293123543123542,1.9351827710442468e-05
FBXO30,0.7163301282051283,0.8514918414918414,0.6632813511861627,-0.13516171328671311,1.9351827710442468e-05
KDM2A,0.8791695804195804,0.8107255244755245,0.7484358793488978,0.06844405594405589,1.9351827710442468e-05
DNAJC10,0.5975539044289045,0.7546212121212119,0.8755029537662526,-0.15706730769230737,1.9351827710442468e-05
NOC3L,0.41587849650349645,0.5948892773892773,0.7665523837252243,-0.17901078088578087,1.9351827710442468e-05
RHOT2,0.926791958041958,0.8946474358974358,0.7324601731263467,0.032144522144522236,1.9351827710442468e-05
CAPN1,0.8286611305361306,0.6875116550116549,0.8729521927660291,0.14114947552447565,1.9351827710442468e-05
FAM21C,0.7705740093240094,0.8566710372960372,0.24141192060635966,-0.08609702797202778,1.9351827710442468e-05
KCNG3,0.11084790209790205,0.30848193473193475,0.16365385006491967,-0.1976340326340327,1.9351827710442468e-05
FAM3A,0.8445483682983682,0.740743006993007,0.9474145045497313,0.10380536130536122,1.9351827710442468e-05
KIF22,0.5273936480186481,0.4238942307692308,0.8274216976315282,0.1034994172494173,1.9351827710442468e-05
PMM2,0.6709469696969698,0.5179807692307692,0.6523643510009836,0.15296620046620057,1.9351827710442468e-05
B3GAT3,0.7034790209790209,0.5775801282051282,0.5299470901736295,0.12589889277389277,1.9351827710442468e-05
LIPT1,0.4348208041958041,0.6058464452214452,0.6138824337877892,-0.17102564102564105,1.9351827710442468e-05
CCDC142,0.8417686480186481,0.9143618881118881,0.20753378982285967,-0.07259324009323997,1.9351827710442468e-05
MANEA,0.3795527389277389,0.7196838578088579,0.44372323333308356,-0.340131118881119,1.9351827710442468e-05
LITAF,0.9732400932400933,0.9920454545454546,0.9695289494782341,-0.018805361305361257,2.1189357411997713e-05
OSGEPL1,0.4435445804195803,0.5451267482517483,0.6003343926716197,-0.10158216783216806,2.3241314347816108e-05
ATP5F1,0.9813315850815852,0.9929283216783216,0.9860034616706146,-0.011596736596736323,2.3241314347816108e-05
RHOT1,0.7370571095571097,0.8364466783216783,0.8528608020928442,-0.09938956876456861,2.3290004782067238e-05
TUBB3,0.9074096736596736,0.8227403846153848,0.2871051164005476,0.08466928904428883,2.3290004782067238e-05
MCFD2,0.7962121212121213,0.9014189976689977,0.8007018606747153,-0.10520687645687643,2.3290004782067238e-05
SPAG9,0.783138111888112,0.8890967365967365,0.8412780136818411,-0.1059586247086245,2.3290004782067238e-05
VPS39,0.7816477272727271,0.7308362470862472,0.5659901030901351,0.05081148018647996,2.3290004782067238e-05
IFIT3,0.6423761655011656,0.8237164918414919,0.6577944855180358,-0.18134032634032626,2.3290004782067238e-05
UST,0.6807896270396269,0.872027972027972,0.533873313987654,-0.19123834498834513,2.3290004782067238e-05
ZCCHC3,0.7849184149184149,0.7196882284382283,0.5375956267775315,0.06523018648018652,2.3290004782067238e-05
TXNDC17,0.8685926573426574,0.9354020979020979,0.9762349996949363,-0.06680944055944049,2.3290004782067238e-05
SNX17,0.8202185314685316,0.8788184731934731,0.9027767222453549,-0.05859994172494143,2.3290004782067238e-05
CEBPZ,0.5851864801864802,0.7042336829836828,0.9241675773978812,-0.1190472027972026,2.3290004782067238e-05
SPINT2,0.9367191142191142,0.8390034965034965,0.9741220319171597,0.09771561771561776,2.3290004782067238e-05
ZFHX3,0.840457459207459,0.6734382284382284,0.7803717710073845,0.16701923076923053,2.3290004782067238e-05
SERINC1,0.8743648018648019,0.9672144522144523,0.9284256249257411,-0.09284965034965043,2.3290004782067238e-05
HAUS7,0.5415428321678323,0.446590909090909,0.7798617258472477,0.0949519230769233,2.3290004782067238e-05
ORC3,0.4565297202797203,0.6031555944055944,0.764631552581749,-0.14662587412587413,2.3290004782067238e-05
PIP5K1C,0.8326573426573426,0.7433216783216783,0.7050039016046352,0.08933566433566431,2.3290004782067238e-05
ZEB1-AS1,0.24616841491841493,0.40564102564102567,0.6243557535555981,-0.15947261072261074,2.3290004782067238e-05
TSN,0.8199694055944058,0.8892861305361303,0.5308638869829839,-0.06931672494172447,2.3290004782067238e-05
PAFAH1B1,0.7716433566433566,0.865588578088578,0.9026461335579744,-0.09394522144522144,2.3290004782067238e-05
MT3,0.6922465034965035,0.5391171328671329,0.45115929572022334,0.1531293706293706,2.3290004782067238e-05
VDR,0.8790472027972027,0.623359557109557,0.5513903948809235,0.2556876456876457,2.3290004782067238e-05
ID3,0.8601806526806527,0.6986480186480186,0.8670660682422229,0.16153263403263407,2.3290004782067238e-05
STX8,0.7212339743589744,0.841733682983683,0.8171330217044822,-0.1204997086247086,2.3290004782067238e-05
MPV17L2,0.7452374708624708,0.6379414335664335,0.47314529275949957,0.10729603729603732,2.3290004782067238e-05
KCMF1,0.9214248251748252,0.9549650349650349,0.21134280493796498,-0.033540209790209774,2.3290004782067238e-05
SERTAD3,0.8224941724941727,0.6635664335664336,0.7120150155582505,0.15892773892773904,2.542868782281071e-05
RPL23A,0.9978671328671329,0.9991841491841492,0.8158902883762151,-0.0013170163170163063,2.775440018781841e-05
EMC6,0.8146153846153847,0.8730419580419579,0.9288313061758815,-0.0584265734265732,2.7926082703253625e-05
MS4A14,0.22576777389277386,0.12984702797202793,0.20110764896476355,0.09592074592074593,2.7983495853192974e-05
NUS1,0.6456395687645688,0.7989568764568765,0.6057971743605167,-0.15331730769230767,2.7983495853192974e-05
TPD52L2,0.8499912587412586,0.7546853146853147,0.934522618067694,0.09530594405594384,2.7983495853192974e-05
AP3B1,0.8276952214452216,0.8998310023310022,0.9446443117387456,-0.07213578088578065,2.7983495853192974e-05
SYK,0.840236013986014,0.4710110722610723,0.7435200715882905,0.3692249417249417,2.7983495853192974e-05
AP1M2,0.8166826923076923,0.5413578088578088,0.7175008108273008,0.2753248834498835,2.7983495853192974e-05
OVOL1,0.7988184731934731,0.5810708041958041,0.37038858697688254,0.21774766899766895,2.7983495853192974e-05
EPHA1,0.5240472027972028,0.4195250582750582,0.5722754864696203,0.10452214452214464,2.7983495853192974e-05
HEY1,0.9244318181818181,0.8112208624708624,0.6441131797167939,0.11321095571095563,2.7983495853192974e-05
ALS2,0.46197552447552453,0.6296299533799534,0.7786741180714405,-0.1676544289044289,2.7983495853192974e-05
CDC73,0.5030565268065268,0.7247231934731935,0.2641038458368433,-0.22166666666666668,2.7983495853192974e-05
KIDINS220,0.7998484848484849,0.9229953379953382,0.8715157172048456,-0.12314685314685325,2.7983495853192974e-05
MMADHC,0.8907094988344988,0.9547057109557109,0.9387496240223241,-0.06399621212121209,2.7983495853192974e-05
ZC3H18,0.6374868881118883,0.5489583333333333,0.4810994282998531,0.08852855477855492,2.7983495853192974e-05
HACE1,0.19662733100233093,0.3977389277389277,0.5059947700301103,-0.2011115967365968,2.7983495853192974e-05
ZBTB47,0.8266943473193472,0.6386392773892774,0.47274870990151263,0.18805506993006982,2.7983495853192974e-05
NDUFB5,0.9612937062937061,0.9823688811188812,0.9851460720100274,-0.02107517482517507,2.7983495853192974e-05
FBN3,0.8117861305361305,0.5865224358974359,0.4501777397667172,0.22526369463869456,2.7983495853192974e-05
SLC2A4RG,0.8734134615384617,0.7680040792540791,0.8003202634038048,0.10540938228438257,2.7983495853192974e-05
COMMD6,0.9284382284382284,0.9715442890442891,0.9787151143560854,-0.0431060606060607,2.7983495853192974e-05
