gene,r_depth,p_depth,n_mean,t_mean
SEC61G,-0.7936051367299609,0.0004130689823277,0.9750746870955898,0.8957138694638694
UBE2Q2,-0.7940834444795273,0.0004073913418915,0.8806772629039286,0.7541637529137528
MMP9,-0.7948127190129848,0.0003988573612276,0.1697412096151808,0.4061523892773893
HPS5,-0.7951554470954617,0.0003948974658735,0.1647317419353457,0.3508318764568764
RBM12,-0.7959643660113616,0.0003856783116976,0.7496149239320896,0.5089729020979021
NSUN7,-0.7969943923716183,0.0003741943037361,0.6418235960913307,0.6467365967365967
CHIC2,-0.7972136266018823,0.0003717864307296,0.8372554539508965,0.5663344988344987
SLC35G2,-0.7978658524242302,0.0003646976732205,0.4492834213379774,0.2073543123543123
CASKIN1,-0.7979161674541924,0.0003641554410061,0.1395334772663291,0.27694493006993
ZNF407,-0.7997249702416795,0.000345095177902,0.6512441783670208,0.5378569347319347
CHIC1,-0.7998050353403747,0.0003442707204776,0.2885571127483459,0.616627331002331
XPA,-0.7999144543585093,0.0003431465992913,0.661650598192524,0.6410533216783217
SF1,-0.8004822793911243,0.0003373610846278,0.5603576631475513,0.9271547202797202
BIRC3,-0.8005965429752885,0.0003362065563915,0.4066633412935345,0.1804487179487179
PFDN4,-0.8009077252826414,0.0003330787079762,0.5054788376750503,0.6768414918414918
MBOAT1,-0.8024877978205188,0.0003175613132177,0.5784720267257241,0.6595847902097902
GID4,-0.803224632055996,0.0003105300143974,0.5147913096439746,0.3373863636363635
PSMA3,-0.8033205492282425,0.0003096241588562,0.915971531666151,0.8917030885780886
DNAJA2,-0.8038546736213743,0.0003046192445551,0.942253040200978,0.8699460955710957
CDK9,-0.804066561099104,0.0003026522151054,0.7270921217557541,0.6465938228438228
RFXANK,-0.8042954408719112,0.0003005391246291,0.7531242273056664,0.6853846153846155
NUDT9,-0.8043302030835957,0.0003002192471669,0.8779605900467873,0.8063694638694638
STAG1,-0.8043973348011826,0.0002996022978063,0.7041138647722031,0.619067599067599
METAP1,-0.8044639074070968,0.0002989915112873,0.8704185581510354,0.8813796620046619
HMG20A,-0.8046129876733787,0.0002976274320047,0.5660976781973623,0.6577899184149184
ATP2B1,-0.8056348615514728,0.0002884137097931,0.6022509422187875,0.5975801282051283
CMTR2,-0.8056382903382155,0.0002883831918372,0.6742004921694956,0.4907342657342656
NUDT2,-0.8060578260189147,0.0002846689962825,0.813013055657541,0.447736013986014
POLR3K,-0.8065245026020733,0.0002805835397643,0.5454518208023496,0.6709411421911421
DENND4A,-0.8065437947831051,0.0002804156875213,0.5535461786217757,0.5211349067599068
RIPPLY1,-0.8067483705240186,0.0002786408200379,0.3927149709226091,0.1705681818181817
LOC100130987,-0.8079558718694209,0.0002683510075932,0.2713552643832199,0.6790559440559442
EPHB6,-0.8082412518142339,0.0002659651522404,0.3607876424567371,0.275895979020979
SHKBP1,-0.8087498285648076,0.0002617563664877,0.5272480789012567,0.610553613053613
GPKOW,-0.8092199358386436,0.0002579145922235,0.7302508694316503,0.6178802447552447
SARNP,-0.8111693678734367,0.0002424728134265,0.920040118557402,0.813738344988345
EXOC1,-0.8113626895952186,0.0002409837031197,0.6964198362075331,0.8550946969696971
RECQL,-0.8129460645159017,0.0002290670181593,0.7234682856809506,0.436331585081585
IL12A,-0.8130252777380464,0.0002284837789116,0.165034664874105,0.110859557109557
LACTB2,-0.8132419188094475,0.0002268948846055,0.8766771815535986,0.6701923076923078
MED14,-0.8132784032282019,0.000226628192848,0.7013747135344469,0.4586523892773893
MRGPRX1,-0.8135973584682809,0.0002243076336157,0.0846016670395222,0.0798164335664335
SLTM,-0.8158897896901978,0.0002081954794504,0.8496720832427954,0.8977374708624707
CRY1,-0.8172814844803928,0.0001988860624902,0.7611142212150958,0.4881293706293707
AIMP1,-0.8173198475346128,0.0001986343632439,0.2544327901771617,0.851274766899767
NUP62,-0.8176064587100111,0.000196762168855,0.904321308113304,0.6411917249417249
MCTS1,-0.817761889600326,0.0001957529367534,0.7542160343640921,0.7415996503496504
NOX4,-0.8178117320638589,0.0001954302041875,0.861320165997489,0.6706876456876457
ACD,-0.8197078778355158,0.0001834726691024,0.6079417189110615,0.6281366550116549
GPBP1,-0.8200016492231557,0.0001816750162528,0.8394272936779018,0.9105958624708624
KIAA0226L,-0.8208429544942639,0.0001766066933312,0.1823242859635357,0.2005317599067598
LAMTOR3,-0.8225847812848541,0.0001664817291021,0.9266466216599536,0.879456585081585
WDR59,-0.8231494611270105,0.0001633035969124,0.848272001250226,0.6660897435897437
PSMC4,-0.8235816432324273,0.0001609049999423,0.7605313889177304,0.7830681818181818
CREBZF,-0.8237947895628243,0.0001597327449653,0.6121478520836924,0.7244755244755244
SRP54,-0.824967950496525,0.000153405490008,0.8972416886187676,0.7076602564102565
FEM1B,-0.8252334254213294,0.0001520026617006,0.3831477439733856,0.729009324009324
DUSP16,-0.8253503982463237,0.0001513879059395,0.5873434942749706,0.7259877622377622
SNTB2,-0.8255839393928496,0.0001501666308173,0.5934399522173852,0.7906818181818182
FAM76B,-0.8257189530491397,0.0001494642944002,0.5288552831152038,0.510493881118881
DKC1,-0.8258076942620858,0.000149004137581,0.8686042317157107,0.8267482517482516
MFSD6L,-0.8258465812419509,0.00014880286105,0.5945975888190395,0.3179152097902097
ELF2,-0.8259684657039426,0.0001481734419574,0.7819977072051773,0.7897698135198135
MIS18BP1,-0.8262014068217087,0.0001469766054271,0.6732638929772187,0.3879516317016317
SLC35A2,-0.8262507022407863,0.0001467243501444,0.8708370841900985,0.6556687062937062
MRPL46,-0.8277903715075725,0.0001390227319387,0.8599018872206126,0.7299388111888112
IMP3,-0.8287253352912233,0.0001345103892935,0.956713061330656,0.7291987179487179
RAB9A,-0.8311966627118611,0.0001231597741641,0.8939534226545682,0.856295163170163
ROBO1,-0.8312875044463405,0.0001227580683187,0.4633923515704359,0.1166258741258741
KIAA0355,-0.8313971129935132,0.0001222748104784,0.8498647550766352,0.6904035547785548
MYH6,-0.8321221449553664,0.0001191174466767,0.2983245043249474,0.1347450466200465
GBE1,-0.8378240518861699,9.654784207840003e-05,0.8232460708325887,0.7935576923076922
DPF2,-0.8379499282960329,9.609257697550692e-05,0.8088668648332157,0.6974388111888111
LSM8,-0.8383549439476202,9.463971475982842e-05,0.5458018413004921,0.6650466200466202
PSMA4,-0.8388579254183096,9.28606736309251e-05,0.9587810723472032,0.8456789044289045
HECA,-0.839491087413562,9.066045153446664e-05,0.5646740474251015,0.7041506410256411
PGM2,-0.839507168758634,9.060513386470894e-05,0.6284141716556185,0.4436115967365967
ASUN,-0.8398948538318733,8.927994302882647e-05,0.6337645614414422,0.6253569347319347
RPS6KA3,-0.8403625932571773,8.770241282021318e-05,0.6605780583174825,0.7516346153846154
C14orf166,-0.8435213147536631,7.763932877448803e-05,0.9349989456569094,0.95122668997669
ATP6V0A2,-0.8442419652604162,7.548243357185739e-05,0.6373520039476319,0.3735518648018647
PLSCR1,-0.8448571884521255,7.368041715404397e-05,0.5580022499788596,0.7364656177156177
IDH1,-0.8454130449746018,7.208295118694264e-05,0.9058905131600214,0.6999198717948718
TMEM56,-0.8459503812458957,7.05659821008222e-05,0.4748745224682118,0.3506133449883449
GOLGA5,-0.8463645658977292,6.941474967859845e-05,0.799067896483846,0.7921794871794872
GTF2B,-0.8467191938645124,6.844141387135267e-05,0.7052597269840114,0.6500772144522144
IL13RA1,-0.847554743612428,6.619256743447428e-05,0.9134100666751584,0.831604020979021
ALDH16A1,-0.8475865812015644,6.610809963150411e-05,0.5750858192459894,0.4384236596736597
LARP7,-0.8483396651322395,6.413589191368379e-05,0.7869183317616308,0.762441724941725
ZNF227,-0.8484679466575897,6.380483641064805e-05,0.6066947039864873,0.3688898601398601
GATA4,-0.8508028802925371,5.802115700606072e-05,0.1750899938023893,0.3098135198135198
TXNL1,-0.8509436608143661,5.768677879777309e-05,0.7354968953074774,0.9685664335664336
SPP2,-0.8511989311811234,5.708452696675556e-05,0.1862430169840221,0.3297290209790209
PRPF38B,-0.8514271559726755,5.655048940629681e-05,0.5177787934675685,0.3999023892773892
UPRT,-0.8522342731715451,5.469485439161433e-05,0.7458653159657516,0.5658581002331002
CTSV,-0.8538413537213831,5.1149630806462425e-05,0.7180863191223583,0.4277097902097902
RBP4,-0.8541283771008024,5.0536914979765686e-05,0.6911861199210902,0.1866229603729603
PRDM10,-0.855342516352902,4.801174263159895e-05,0.567765895158692,0.3334032634032634
CCDC90B,-0.8555501422005564,4.7590554003904855e-05,0.910198869444495,0.7765734265734265
RTF1,-0.8561438742008316,4.6402935843155154e-05,0.3967471642452455,0.7371547202797203
CLEC4A,-0.8564589358705321,4.578275119475718e-05,0.339534868785129,0.2549912587412587
UNC5D,-0.8567633212777663,4.519010738313911e-05,0.1446034224940084,0.3721037296037296
TDRD7,-0.8572957650070092,4.4168685768379225e-05,0.672135692350179,0.4842103729603729
PTS,-0.8592685927141871,4.054894826717592e-05,0.9591193184554998,0.910425407925408
COQ7,-0.8593203367721077,4.045742002784923e-05,0.6022364918312495,0.598266317016317
CTSC,-0.8600211880968192,3.923444826170802e-05,0.9400341029145896,0.8384644522144522
MAP3K8,-0.8612462595208926,3.717020827640654e-05,0.4655186993366737,0.4546051864801864
ZNF326,-0.8616186854976455,3.656079926120987e-05,0.4993320709760218,0.3905842074592074
MLLT3,-0.8641979881710105,3.256305332055788e-05,0.4791357811933023,0.5170847902097903
AASDHPPT,-0.8646022132324729,3.197069254256073e-05,0.7075241562311676,0.8124475524475524
ZBTB44,-0.8647409678777918,3.1769427502145744e-05,0.7127525205222264,0.8627622377622379
SAFB2,-0.8673888102933969,2.81250617686472e-05,0.91123929734723,0.7545454545454544
SWAP70,-0.8690194558464708,2.605835718554024e-05,0.8385356512468544,0.5135678904428904
ATP11C,-0.8693617423326818,2.564094088370179e-05,0.7136623597375807,0.710920745920746
ZNF134,-0.8731936425911736,2.1333983936285632e-05,0.2942414670461588,0.3971124708624708
PHLPP1,-0.8736591081259846,2.0854416293422857e-05,0.4106179306830965,0.5536917249417249
DHX15,-0.873809732810831,2.070115716620239e-05,0.9513385875656022,0.948786421911422
SIN3A,-0.8749915407628619,1.953078879790263e-05,0.7630371931567247,0.6305244755244757
KRTAP10-12,-0.8752374463961679,1.9294301889484472e-05,0.1627284900629501,0.1042890442890442
ENAH,-0.8753035643469345,1.923112335293651e-05,0.4946389062234073,0.6717030885780885
TEX22,-0.8808694981956446,1.449290659856933e-05,0.2385989118322984,0.4002170745920745
PHF14,-0.8809497967775939,1.4432425317716264e-05,0.3098944479470281,0.4992934149184149
INO80C,-0.8840579489803506,1.2247110639125926e-05,0.7333742939380091,0.5095075757575758
MLN,-0.8851863833426205,1.1525192908935729e-05,0.2785553037739059,0.3474329836829836
KLHL42,-0.8883155527729714,9.705869000342848e-06,0.8304926725831192,0.6348630536130535
SNRPD1,-0.8886039248791667,9.550990708058542e-06,0.5906478162253233,0.651580710955711
NKAP,-0.8907785992532782,8.447886920599547e-06,0.5598149708155691,0.4015938228438228
TARDBP,-0.9008521489114384,4.618111324093683e-06,0.6377255732254656,0.8561159673659673
NAMPT,-0.9053217053604354,3.459884038020134e-06,0.6619845627045132,0.887298951048951
L3MBTL4,-0.918254949975837,1.3750064479088708e-06,0.452995030137086,0.6393706293706294
KIAA0430,-0.918753280298152,1.3230497273223703e-06,0.8971250151193869,0.5621736596736596
