gene,loading,n_mean,t_mean,expr_delta,pc1_shift,direction,cum_shift
ZNF292,0.016073158698610878,0.2610537436672514,0.9132837995337993,-0.6522300558665479,-0.010483397195946863,restore_normal,-1.6725291406103513
SLC4A7,-0.015879533488625006,0.8211443422451192,0.16124417249417247,0.6599001697509468,-0.010478906844709486,restore_normal,-1.6830080474550608
SHMT1,-0.016481187057122273,0.9722263551519913,0.33713286713286705,0.6350934880191242,-0.01046709457480343,restore_normal,-1.6934751420298642
IRX1,-0.016403325181358817,0.7916527068787055,0.15370046620046615,0.6379522406782393,-0.010464538054021644,restore_normal,-1.7039396800838857
ATG4A,0.016059214269229787,0.13216056842472573,0.7820410839160841,-0.6498805154913583,-0.010436570447673231,restore_normal,-1.714376250531559
CACNG4,0.01611051963843708,0.29819980283249004,0.9458770396270396,-0.6476772367945496,-0.010434416842747254,restore_normal,-1.7248106673743062
PRKACA,0.016139663967600776,0.30546620696594307,0.9509513403263405,-0.6454851333603975,-0.010417913148518788,restore_normal,-1.735228580522825
C2orf15,-0.0162641043703846,0.6564602330686949,0.016322843822843776,0.6401373892458512,-0.010411261310080036,restore_normal,-1.7456398418329049
ANKRD33,-0.016496026521777583,0.8855497195019219,0.2564845571095571,0.6290651623923648,-0.010377075602750772,restore_normal,-1.7560169174356557
HR,0.01602587657661574,0.15684504153683612,0.8037077505827506,-0.6468627090459145,-0.010366541937185123,restore_normal,-1.766383459372841
TBRG4,-0.016549642635655726,0.7645791030269815,0.13848193473193468,0.6260971682950468,-0.010361684390479025,restore_normal,-1.77674514376332
N4BP1,0.01606238389681156,0.29032487682382624,0.9345571095571095,-0.6442322327332832,-0.010347905440862044,restore_normal,-1.7870930492041819
SYT15,0.01607142185309493,0.1550944038465861,0.798834498834499,-0.6437400949879128,-0.010345818630302149,restore_normal,-1.797438867834484
ICK,-0.01651180900934257,0.6529102545301966,0.029070512820512776,0.6238397417096838,-0.010300722667547899,restore_normal,-1.807739590502032
HIPK3,0.01601334812234799,0.33518583733573387,0.9776194638694641,-0.6424336265337303,-0.01028751330718712,restore_normal,-1.818027103809219
AKR1E2,0.015904724281725756,0.2063397596525913,0.8521794871794871,-0.6458397275268958,-0.010271902796500166,restore_normal,-1.8282990066057192
DACH1,-0.01596138433834497,0.7814662540635025,0.138902972027972,0.6425632820355305,-0.010256199506277458,restore_normal,-1.8385552061119967
TMIGD2,0.016203193214890468,0.1369859274633361,0.769433275058275,-0.6324473475949388,-0.010247666571325786,restore_normal,-1.8488028726833226
CA1,0.016538701873619284,0.19098327929601988,0.8094347319347318,-0.6184514526387119,-0.010228384198498433,restore_normal,-1.859031256881821
C1orf94,0.01610092705045056,0.13688263395241643,0.7714918414918414,-0.634609207539425,-0.010217796556136522,restore_normal,-1.8692490534379576
CXorf57,-0.016430505180219514,0.6398562025880108,0.01825757575757572,0.6215986268304351,-0.0102131794581548,restore_normal,-1.8794622328961124
FGFR2,0.01584204371844621,0.14722536503284514,0.7916899766899766,-0.6444646116571315,-0.010209636552863737,restore_normal,-1.889671869448976
SFTPB,0.01597666475153188,0.24704329014986653,0.8860445804195806,-0.639001290269714,-0.01020910939043553,restore_normal,-1.8998809788394115
ZNF121,0.015717170931277624,0.13671029970103749,0.7857022144522144,-0.6489919147511769,-0.010200316857161404,restore_normal,-1.910081295696573
NRG2,0.016042373580329942,0.12087802695478948,0.756368006993007,-0.6354899800382176,-0.010194767666329504,restore_normal,-1.9202760633629024
UTP20,0.015795407872332974,0.1441377988955622,0.7890909090909092,-0.644953110195347,-0.01018729743406522,restore_normal,-1.9304633607969677
MRVI1,0.01596710633833641,0.2918196891347,0.9272027972027971,-0.6353831080680971,-0.010145229652106,restore_normal,-1.9406085904490737
WNT10B,0.016305370493048893,0.1084672848578135,0.7302666083916084,-0.6217993235337949,-0.0101386683425457,restore_normal,-1.9507472587916195
MIR1236,0.016062122971031437,0.18654915112001208,0.8177258158508157,-0.6311766647308037,-0.01013803720535165,restore_normal,-1.9608852959969711
ANXA8,0.016325715575970668,0.10134270860204803,0.7220163170163169,-0.6206736084142688,-0.010132940796482746,restore_normal,-1.971018236793454
HTATSF1,0.015824259878244006,0.13875101554112415,0.7789889277389277,-0.6402379121978036,-0.010131291106522411,restore_normal,-1.9811495278999762
IFT74,-0.016344638624180875,0.8329406752719616,0.21313519813519807,0.6198054771367635,-0.0101304965410884,restore_normal,-1.9912800244410647
ANKRD11,0.015908094804503888,0.16762288984201978,0.8041797785547786,-0.6365568887127588,-0.010126407334102598,restore_normal,-2.0014064317751674
ASB12,0.016408502686313813,0.20861542809005476,0.8256570512820514,-0.6170416231919966,-0.010124729131713313,restore_normal,-2.011531160906881
MYL10,0.016100745921091543,0.18740707598013762,0.8161378205128205,-0.6287307445326829,-0.010123033970499443,restore_normal,-2.0216541948773803
LINC01210,0.01584447763104658,0.2457036857051414,0.8842948717948719,-0.6385911860897304,-0.010118143763382237,restore_normal,-2.0317723386407627
RICTOR,0.015863858138390217,0.2806399059761451,0.9173572261072261,-0.6367173201310811,-0.01010079324081546,restore_normal,-2.041873131881578
HS6ST3,0.015090787077567773,0.097773998079704,0.7670483682983683,-0.6692743702186643,-0.010099877017443129,restore_normal,-2.051973008899021
ZNF574,0.015986812631340143,0.19701551329382125,0.8282124125874126,-0.6311968992935914,-0.01009082656248952,restore_normal,-2.0620638354615104
CCDC142,0.015905892443172715,0.20753378982285967,0.8417686480186481,-0.6342348581957885,-0.010088071438173111,restore_normal,-2.0721519068996836
DEFB118,0.016196036390082085,0.12405818261222325,0.7467176573426573,-0.622659474730434,-0.010084615511363507,restore_normal,-2.0822365224110473
MROH1,0.016270884150612078,0.2072276556868697,0.8267715617715617,-0.619543906084692,-0.010080527122121713,restore_normal,-2.092317049533169
LIN54,-0.016480879480395828,0.644689589619698,0.0332269813519813,0.6114626082677167,-0.010077441553628724,restore_normal,-2.1023944910867978
TRAF7,0.016122488615185906,0.10516242770792229,0.729975233100233,-0.6248128053923108,-0.010073537341559897,restore_normal,-2.1124680284283577
HDLBP,0.01613273798983518,0.2813254965848917,0.9045352564102563,-0.6232097598253646,-0.010054079767970719,restore_normal,-2.1225221081963284
CLU,0.015359215491490445,0.2789449290378932,0.9334935897435898,-0.6545486607056965,-0.010053353929445256,restore_normal,-2.1325754621257738
CPSF7,0.015848656956744832,0.2868428686267101,0.9211625874125874,-0.6343197187858773,-0.01005311562393622,restore_normal,-2.14262857774971
ABI2,0.015848258244943354,0.1624721294840355,0.7933158508158508,-0.6308437213318152,-0.009997774207867688,restore_normal,-2.152626351957578
ELF5,-0.015596726074701327,0.7959326975876416,0.15496503496503497,0.6409676626226066,-0.009996997056666372,restore_normal,-2.162623349014244
TNFRSF19,-0.01635287587809732,0.8588068689649561,0.24797785547785542,0.6108290134871006,-0.00998881104029519,restore_normal,-2.1726121600545394
