gene,r_depth,p_depth,n_mean,t_mean
MUC5B,0.90391461901684,3.794833636994175e-06,0.1316168056936667,0.4355681818181818
FAM26E,0.9036289825397152,3.866025458025401e-06,0.4544341816959617,0.4712179487179487
ATXN7L3,0.9033589302224868,3.93435400183205e-06,0.7094861977391032,0.8490879953379953
RELT,0.902853961924004,4.064824315897996e-06,0.2327807576498746,0.7789714452214452
ZNF385A,0.9026755100612188,4.111785540560449e-06,0.3723415300926644,0.7067715617715618
ZNF169,0.9024069024660678,4.1833244709320465e-06,0.1055541937700632,0.7921357808857808
TUBB4A,0.9023925052935458,4.187188018775383e-06,0.3978031129345954,0.420164627039627
TYRO3,0.9022223126281184,4.233085931298501e-06,0.52035096244933,0.7962106643356642
FSCN3,0.9018346874541456,4.339189134683841e-06,0.1793748013071713,0.6341724941724942
CNGB3,0.9013401670091626,4.477762612020306e-06,0.0994127790664192,0.5664306526806527
BPI,0.901309328736256,4.486524812536303e-06,0.5228364291058636,0.5983449883449884
DNHD1,0.9009666365595036,4.5848611638409925e-06,0.3606597297670491,0.8205244755244756
HTR3B,0.9005810000298926,4.6976624758388424e-06,0.2343430051025923,0.6215501165501167
KCNIP2,0.9004849665195931,4.7261097749065426e-06,0.2486628039531978,0.4776252913752914
PPP1R1C,0.9004710476605805,4.73024474393268e-06,0.1645492388927363,0.7603758741258742
KLF14,0.9003950189011749,4.752884377465515e-06,0.1051811596917678,0.6685343822843823
ARMCX4,0.9003802693992058,4.757286886100301e-06,0.2537851987356446,0.71365675990676
KIAA1324,0.9003717215366936,4.7598398522147075e-06,0.2049830288226359,0.4067628205128203
PRB1,0.9003598968505404,4.7633733804127655e-06,0.2031274920228508,0.9159965034965034
GRM7,0.9001250278205433,4.834012794930961e-06,0.2219536709871541,0.4264539627039627
ZNF343,0.8999279601731502,4.893954644672905e-06,0.5460630186752526,0.6143385780885781
TRNAU1AP,0.8998940362613624,4.904335471612615e-06,0.4706437701168127,0.7973805361305362
E2F7,0.8998824922959757,4.907872144578923e-06,0.2102863210490767,0.4369376456876457
LINC01118,0.8995432024988114,5.012772343581574e-06,0.1105695486448212,0.5102097902097903
FOXA2,0.8992407118663925,5.1078642794929e-06,0.3570749632585516,0.5324606643356644
B3GNT3,0.8988958346975975,5.218110232673143e-06,0.3605045219009004,0.7875247668997669
C2orf16,0.8984942756606641,5.3489669113628315e-06,0.141042739964741,0.5373120629370629
APOBEC3G,0.8980875609589732,5.484279431521354e-06,0.4507284600917761,0.7864772727272727
C17orf100,0.8979784276166899,5.5210690119424045e-06,0.345813829770153,0.2882153263403262
IDI2,0.8977357269107157,5.6036226385602074e-06,0.2033918805948421,0.3408945221445221
RPS6KA6,0.8977351520340271,5.603819394264227e-06,0.2942462838420048,0.5918662587412589
IL2RA,0.8977235949267666,5.6077761189084885e-06,0.2640663818691522,0.6291768648018647
TAS2R1,0.8975468808669862,5.668566947728277e-06,0.1392685534947994,0.4603642191142191
DOLPP1,0.8972508676030737,5.77162732368689e-06,0.6565528225888458,0.8336305361305362
LOC283788,0.8971795267666711,5.796697462837605e-06,0.7448040152810173,0.8219784382284383
AK8,0.8969405512803982,5.8813385957291694e-06,0.4102679101849542,0.8015399184149185
CPA4,0.8969274642190839,5.886003385809975e-06,0.1824559450499929,0.6929967948717949
PRPH,0.8968839639200576,5.901530912325913e-06,0.3272429409856877,0.7764991258741258
GIGYF1,0.8967862947173488,5.936518493092844e-06,0.3966674195140173,0.8693837412587413
DAPP1,0.8966317537801074,5.992231873712368e-06,0.1897491091603682,0.6777826340326342
CYP2A13,0.8961855662606277,6.155536066702065e-06,0.2410078449548345,0.6567249417249418
DGKK,0.8961514520784749,6.168172840533245e-06,0.1001802552045478,0.7011582167832168
NOX1,0.8960073265671993,6.221799389641495e-06,0.2212605875848692,0.5961465617715619
HPSE2,0.8957605815698516,6.3145102125914844e-06,0.2660787321337014,0.5999723193473194
C3orf30,0.895639525987794,6.360414033011105e-06,0.2208848775088815,0.2496445221445221
PFKP,0.8954720599435592,6.424374403330971e-06,0.879088790673827,0.753314393939394
DRP2,0.8953579090105133,6.468278373079304e-06,0.1291960981812848,0.5136917249417249
PWRN2,0.8952642669923289,6.504480636074122e-06,0.185213293072056,0.5546649184149185
SULT1B1,0.8949327158184961,6.634018553422701e-06,0.190548162071265,0.4944828088578089
HR,0.8948689910359965,6.65916043920782e-06,0.1568450415368361,0.8037077505827506
RPH3A,0.894845216085236,6.668560874196242e-06,0.3460771479430675,0.3065384615384615
PRODH2,0.8947027773186793,6.725111799813309e-06,0.7726354616791776,0.6628511072261072
APBA1,0.8946574522539665,6.743190246489055e-06,0.1694902010316506,0.6321474358974358
ADAM5,0.894123540605488,6.959211364466143e-06,0.143070611015905,0.4589627039627039
VIT,0.893860887429792,7.067576825262201e-06,0.199012877971294,0.5306541375291375
FAM189B,0.8936897979205617,7.1389176895833605e-06,0.3896905583308623,0.871437937062937
KLK7,0.893596939301835,7.177888175546774e-06,0.4210468288892147,0.6496780303030303
PI16,0.8934962224162906,7.220356642020426e-06,0.4263404875239635,0.7438141025641027
MST1R,0.8933759775457655,7.271333061674032e-06,0.1555107890874954,0.4915384615384615
PDE1B,0.8933455711245011,7.284270860977215e-06,0.2466654392757251,0.6908712121212122
FAM181B,0.8931311279017591,7.376060811429012e-06,0.5462353529266316,0.6148484848484849
C10orf88,0.8931137826001735,7.383527162888533e-06,0.5780802606635832,0.5941826923076924
OTUD5,0.8919753742620273,7.88751388591134e-06,0.5780122903222008,0.9220104895104896
