,PC1,PC2,PC3,PC4,PC5,sample_class
TCGA-KI-0005-X05-11I-01-01,-47.88723540428738,0.2945000888559201,-11.83251363734885,-7.180946681974305,-1.88937225465275,normal
TCGA-KI-0023-X23-11H-01-01,-45.14314041670041,-13.912271992545815,-14.53952192445869,-6.784414202364223,-1.3078585306064066,normal
TCGA-KI-0006-X06-11I-01-01,-46.915078506029026,5.02015689295481,-11.056336360769217,-6.9870064529439215,-4.594664567236879,normal
TCGA-KI-0022-X22-11G-01-01,-46.01013647440742,24.435842764201993,-0.7313919785137201,-1.7658011295604994,-7.757718658128091,normal
TCGA-KI-0023-X23-11G-01-01,-46.7686391942573,20.704775578519413,-4.024833582568962,-3.965278564239647,-5.172466757962864,normal
TCGA-KI-0024-X24-11H-01-01,-44.05857053869922,-19.087662828849908,-12.400189180261552,-5.589224630871038,-1.0238074254472842,normal
TCGA-KI-0001-X01-02A-01-01,69.60941954158444,0.3845439487348987,-1.799038075266367,2.7586645717451836,-8.144823012834047,oncocytoma
TCGA-KI-0002-X02-02A-01-01,70.10342584929299,-2.577235347321363,-2.6469992954655437,16.65391873960441,-13.750271535907759,oncocytoma
TCGA-KI-0003-X03-02A-01-01,84.14436263224145,1.9384692456003407,-0.490795286174075,-1.1394699947183746,10.933304126027304,oncocytoma
TCGA-KI-0004-X04-02A-01-01,75.94930814851185,0.4216512260804493,-9.956169866335905,17.928969796494002,-9.56171483076777,oncocytoma
TCGA-KI-0005-X05-02A-01-01,85.74469146879605,3.795164454707929,-7.248287303531184,8.881652247234994,9.016422731231419,oncocytoma
TCGA-KI-0006-X06-02A-01-01,74.25160621983909,-1.2855570941715229,-4.541006013417646,14.286891987485594,-9.005259355913962,oncocytoma
TCGA-KI-0007-X07-02A-01-01,82.46944415742587,2.679891847267493,-11.004583201884545,15.674803567080547,-0.6349037543180629,oncocytoma
TCGA-KI-0008-X08-02A-01-01,86.89925756131022,3.912405722542721,-4.3831513204658465,0.9973091639451872,14.561924841413337,oncocytoma
TCGA-KI-0009-X09-02A-01-01,79.26151987192412,1.028956139834451,-9.2794569719854,18.25135330575661,-6.534750808765791,oncocytoma
TCGA-KI-0010-X10-02A-01-01,77.86297572196695,0.7221396573902872,-7.581210067148863,17.29612700572638,-8.190317822516265,oncocytoma
TCGA-KI-0011-X11-02A-01-01,69.14190480983778,3.0662774828897565,0.4927406953077649,8.120843442678526,-12.687914765221116,oncocytoma
TCGA-KI-0012-X12-02A-01-01,79.24370168715112,2.7599820097751584,-7.882641355561837,15.780670881651092,-3.8084382232724496,oncocytoma
TCGA-KI-0013-X13-02A-01-01,89.37693363488326,6.3737997684445045,-7.418347226147428,8.969348572503524,11.917402831011241,oncocytoma
TCGA-KI-0014-X14-02A-01-01,84.58252816333936,3.6952458871144254,-3.864640764174158,2.6002358094456883,9.022759897054325,oncocytoma
TCGA-KI-0015-X15-02A-01-01,81.42179098211736,1.711765592455275,-6.478442854006515,14.508750173437381,-5.04874067435953,oncocytoma
