gene,r_PC2,p_PC2
H2AFJ,-0.6994229684625553,1.9086712928276107e-13
REN,0.699084633990535,1.9825158328146743e-13
CCDC33,0.6987554765659332,2.0569943895701183e-13
FMO3,0.6985660108131194,2.1010796576445588e-13
DMPK,0.6985162855739855,2.1127997770356294e-13
SSH3,-0.6980399550003944,2.2283081186513351e-13
BCAS1,-0.6979617815471236,2.2478368939113e-13
CREB3L3,0.6978025214622552,2.2881335783990705e-13
BAIAP2L2,0.6970891265677619,2.477340707582458e-13
LAPTM4B,-0.6970786079018539,2.4802401758934245e-13
LDHA,-0.6970264383050018,2.4946690965534236e-13
A1CF,0.6968985436355171,2.530384766048247e-13
CHDH,0.6966128247282657,2.6119623238078324e-13
SORD,0.6963916837477868,2.6768351188045776e-13
PROSER2,-0.6959132276613176,2.8225466608369235e-13
FTCD,0.6959026272881147,2.825859912584271e-13
IL22RA1,0.6948860577057903,3.1616177220422763e-13
IER5L,-0.6942713126022626,3.382964842833656e-13
RNF43,-0.6931981537350516,3.805617679761127e-13
TMEM136,-0.6931334655618351,3.8326570090862573e-13
RNF186,0.6929618845640474,3.905276232457734e-13
ACACA,-0.6926935544075914,4.021506572495752e-13
SOX17,-0.6924394734318029,4.13463059986613e-13
HIGD1B,-0.6923041854305343,4.196108589115098e-13
RPL32P3,0.692233180270371,4.2287262706496683e-13
PBLD,0.6912113689167092,4.726033934047828e-13
SMG6,0.6905222615687809,5.092718579572395e-13
SEC61A2,-0.6904266695028676,5.14569920847786e-13
CTSV,0.689704076236715,5.563714115252701e-13
SLC4A4,0.6886934253177206,6.203585748309617e-13
ACE,0.6885893066215327,6.273394077522634e-13
MYL12B,-0.6879725364848774,6.702689167653567e-13
ZNF333,-0.6872195304717967,7.265230129583394e-13
APOE,0.6864887886126055,7.854425547996419e-13
RTN3,-0.6850511009131894,9.150710636984497e-13
MYO5C,-0.6848301989827159,9.367302057681714e-13
HCN2,0.6844527203080657,9.748883717129654e-13
SLCO1A2,-0.6844094745607103,9.79354284252937e-13
CAPN8,-0.6842465375072128,9.96358021817128e-13
DPYSL5,0.6840596293968054,1.0162132896482743e-12
MCTP1,-0.6833269670954865,1.0977797015130277e-12
HOXD9,-0.6830809593434274,1.126553878281208e-12
DLK1,0.6829618390451313,1.1407462171725207e-12
ST6GAL1,-0.6829359425208801,1.1438542947372866e-12
LUZP2,0.6829149135412689,1.1463841682934502e-12
KCNH1,0.6828385542226081,1.155615865314241e-12
HIGD1A,-0.6827338932298006,1.1683854863607421e-12
SLC28A2,0.6827030122299032,1.1721791293422984e-12
SLC2A2,0.6826924586717519,1.1734783195888468e-12
DHTKD1,0.6820966015887147,1.2491218891268802e-12
TXK,-0.6819774029015434,1.2648072759375308e-12
SLC13A2,0.6815659402016594,1.3204213013425364e-12
DBNL,-0.6814769182297229,1.332759573854849e-12
RITA1,0.6812324180110909,1.3672202867528383e-12
TMEM52,0.68123241348973,1.3672209318671097e-12
CACNA1E,0.6808951978414104,1.41615890935332e-12
SCIN,-0.6808779206443707,1.4187111041746925e-12
PKM,-0.6804342574299997,1.4857861392978894e-12
GPX5,0.6802229209359493,1.518799977649132e-12
SLC26A1,0.6800941402551265,1.539262284969268e-12
IPO13,0.6798583121402023,1.577423294193425e-12
GINS2,-0.6795677371359523,1.6256961052574974e-12
ZNF341,-0.6794402792602997,1.6473161074787112e-12
ITGA10,-0.6792403200510587,1.681792566039813e-12
XYLB,0.6789051239655398,1.7411490206578123e-12
FGF23,0.6788723127430851,1.7470663404238474e-12
NAPSA,0.678857382261828,1.749765369572597e-12
ADAP2,0.6784714877084481,1.8209329888241523e-12
NPL,0.678279703301661,1.8573302537042992e-12
ST3GAL2,-0.6782180505391439,1.8691787880443034e-12
ASIC2,-0.6782130782513778,1.8701375332346195e-12
LGMN,0.6779986325302787,1.9119396618390732e-12
C3orf36,0.6777878842301674,1.9538959945005904e-12
KIF26B,-0.6771625572917879,2.083665961403448e-12
PHYH,0.6769377252620705,2.1323194759529985e-12
SYN2,0.6769199131788062,2.1362203725045106e-12
MFSD12,0.6766512421594507,2.1958993721620576e-12
LRP8,-0.6762331750756341,2.291964410212462e-12
LBP,0.6760881643168662,2.3262201126405874e-12
SEPT9,-0.6758301581862254,2.388389842402206e-12
TET1,-0.6754668051529991,2.4786607417729714e-12
IVD,0.6754581839528667,2.48084193577322e-12
ERICH4,0.6753890217153427,2.4984071651534626e-12
TMEM132A,-0.674923118380028,2.6198887521078587e-12
B3GNT4,0.6747691707336588,2.661263971143595e-12
CNGA1,-0.6746370975085902,2.697260406893274e-12
TMEM154,-0.6744812506606908,2.7403387776718125e-12
TMEM252,0.6741710922503199,2.828048401335728e-12
GCNT3,-0.6740785131724194,2.854747856589684e-12
PDE4A,0.6733704265142427,3.067128941762109e-12
TNMD,0.6733166216159474,3.083873800241172e-12
ABAT,0.6727764628438512,3.2569242766778222e-12
APCDD1,-0.6725491259955408,3.3325151374776553e-12
SPAG5,0.672281039918412,3.4238240381399334e-12
AKR1A1,0.6717843709756601,3.5993833598940187e-12
PHLDA2,-0.6716384425746311,3.6525893918223304e-12
BZW2,-0.671359007507,3.75659064159747e-12
BMF,-0.6706068702857186,4.050865194777355e-12
FUCA1,-0.6699199433198355,4.338894660967046e-12
REG3G,0.6688960590127591,4.8050448470999224e-12
VWA5A,-0.6686266897551283,4.935464377383323e-12
DPY19L2P4,0.6681301101947903,5.184864163159473e-12
HOMER1,-0.6678943576834564,5.307466595387241e-12
TMEM216,-0.6678478510631176,5.331979150322752e-12
NR1I3,0.667826432817015,5.3433047760289375e-12
SRPX2,-0.6675638453868574,5.484050291060126e-12
JUP,-0.6673706062793635,5.589894639515412e-12
AKR1B1,-0.6673093933673233,5.62383086543637e-12
AIF1,0.6672535252931178,5.6549767269080705e-12
DLGAP1-AS1,-0.6663951358820601,6.154878212933444e-12
PRLR,0.6660132158822765,6.390707320019662e-12
PAQR8,-0.6658875829046316,6.470164423635807e-12
SNTA1,0.665421487884924,6.77332644706411e-12
IDH3G,0.6653176897704136,6.8426748992520465e-12
SMAGP,-0.6641507461499091,7.670806944598751e-12
B3GALT4,-0.6639991643729721,7.78519897897072e-12
GCSH,0.6638526239931335,7.89734388431076e-12
APP,-0.6638510834976981,7.89853100517757e-12
HN1,-0.6633136842304741,8.323290767254705e-12
RORB,0.6614855666604489,9.938820765640783e-12
PTGES,-0.661292571219185,1.012597581855545e-11
PTPRO,0.6611898446700524,1.0226969841724367e-11
EHF,-0.6604918059076015,1.0939317141195237e-11
SLC5A12,0.6601948429515831,1.1256610311683456e-11
WDR1,-0.6600210107525548,1.1446426212623749e-11
IL6R,0.659662235389983,1.1847960633518777e-11
LOC81691,-0.6595779575797538,1.1944226875997991e-11
RBPMS2,0.6595519402218089,1.1974096661891983e-11
FAM181B,-0.6593806091911807,1.2172596733194937e-11
SULF1,0.6588510800891807,1.280628040387511e-11
ZNF101,-0.658496198470969,1.3248572999830074e-11
ARC,-0.6584435414085907,1.3315437452747857e-11
ADAMTSL5,0.658008638028806,1.3880214837216892e-11
DGCR5,0.6576951551303402,1.430150867713685e-11
