,PC1,PC2,PC3,PC4,PC5
TMEM200A,-0.014845260791618888,0.020876954603669794,-0.003154813306917156,0.0014104220543479352,0.0034595062605544623
ITIH5,0.015137772085779726,-0.007472179396880207,-0.0039658839694348275,0.017173382133942445,0.0012887697137284866
HTATSF1,0.015824259878244006,0.0002425320380703701,0.0023785694041805906,0.0020827244557987024,-0.011258574007519355
GJB2,-0.014596348753056989,0.02270524478266587,0.012514676672445367,0.0023302862451079855,-0.007341432963061251
RHO,0.016470061975410726,-0.00035521589929982236,0.0029465485657541317,0.002872234720847031,-0.0003383136089972637
CACNG4,0.01611051963843708,0.002316835621013129,0.0005261233732900219,-0.0002176906930286061,-0.003268880888555683
C4orf17,0.016441991581028968,0.0019586264057555114,-0.004278481861441287,-0.00131603716009086,0.006344375109850871
NUP50,0.01633697652205875,0.00038561550253826785,0.0026803172292147502,-0.0016158585511362308,-0.007509250834767991
DGCR6L,-0.016465156259585584,-0.0005058352915536966,-0.006811587047293712,-0.0037190565693324034,0.004412574593260354
CRYAA,-0.013711406278668755,0.029631720211319216,-0.00488727119151793,-0.0054607458298163635,0.0015992340912249778
N4BP1,0.01606238389681156,-0.002412514154728427,0.003363510860440883,0.0017436159461047221,0.0007192896457659274
NRXN3,0.013697314003149061,0.002654212434101263,0.019720197786522335,-0.02530482100934728,-0.009124959025553875
ITSN2,0.015804982712949087,0.0023787141300763755,0.000651963941719122,0.004777274867310488,-0.007409341386329116
PABPC5,-0.016497427006577678,0.001685859824172338,0.0003845382560503128,0.0010834372725418984,0.008124553201844166
HIPK3,0.01601334812234799,-4.374876857227607e-05,0.00042239285391194333,-0.0029065050617547994,-0.02199185191408823
CDH2,-0.016292682863139535,0.005531161136440539,-0.004534339184883226,0.0018481333082796946,0.008329715384783876
FAM151A,-0.01086748399937296,0.03974088784208048,0.00516699543868205,-0.0024179244088739834,-0.005905372197113181
TOX2,-0.016398107763216808,0.004361961423189356,-0.0029604373803222834,-0.003469924736002596,-0.003264079832650865
SVIP,0.015924714220156993,0.00018332887244457916,0.004914776777602908,-0.009682385337206167,-0.0074164862339034816
SNX18,0.015884639876980845,0.0021753776366678344,0.0007549335577375014,0.0019095770417447888,-0.005083374684790496
ANKH,0.015770346367717552,0.0015629112214610107,-0.0008136042303253377,0.010941100383245403,-0.0021226229296875485
MTTP,-0.014085482404245966,0.02705489012278158,-0.010347608561153009,-0.006885479648234031,0.0012937142807234205
PDZK1IP1,-0.01510273771913708,0.01862058131895737,-0.0024673794713927512,-0.0011796771453858926,-0.007738045646480168
C1orf94,0.01610092705045056,0.0028947654138827008,-0.004413043950615956,-0.0018756616990801556,0.0030540981382971987
