,PC1,PC2,PC3,PC4,PC5
LIMD1,0.016507188406248662,0.0017745880840468206,-0.0022735456985281573,-0.0021503637383576977,-0.0007661300408806323
SMOC1,0.016052243090346172,0.0005643967701105074,-0.00278197139268579,-0.0023177701327533845,-0.0032159744391812278
CACNG6,0.015940017904047164,-0.0030416151108901795,0.006463719179318956,0.005078023019404391,0.0024764953814347297
WHAMMP2,0.016295954542776037,0.0017385175752168613,-0.006019049969574783,-0.0017819842275640678,-0.0005234427541543991
GPSM1,0.015630765627676495,-0.000910147811339192,0.002782567786790672,0.0056833766370413515,-0.008417206107431022
FBXW12,0.01605837509621905,0.003832271921417959,0.004302584352419221,-0.0012110465849161558,-0.011966365161657826
FBXL3,0.01627431942078041,0.0025001330660861854,-0.003456914651343676,0.0036472236194987763,-0.007493024972792091
OCLN,0.016087165332314496,-0.0006096319234742514,0.0030752836893603508,-0.0011906904609312024,-0.004477072877980287
PDZD11,0.01603282042716523,0.0013239393770150467,0.0026006873786094745,0.00021981318976407063,-0.0036460990001937186
APOL2,0.016342492617040676,0.0011276437890867129,1.8427102207029358e-05,0.00020798691368835798,0.0006135610297298546
TMEM27,-0.01556046819741915,0.009008881520906141,-0.005777055459860552,0.003505084554287727,-0.007821569591750675
SLC16A4,-0.01608055546578179,0.006833350464021897,0.002752360920741972,0.007797631753353061,0.00011146111721546758
SUMO4,0.016022895487176076,-0.0005228714607292945,-0.0010251649690082713,0.0015314963709959638,-0.002540383631853915
CREB3L1,0.01613465530473094,0.004153137579719189,0.00010458055675700892,-0.002448430995036169,0.006480160505712419
IYD,-0.013294188642173894,0.03109191875568603,-0.0023531806310232353,-0.007140172045645663,0.0029389209333520244
NLRP1,0.01633427476614068,0.0032268196450377594,-0.0026936081476955464,0.001426460143745801,0.007608689606448962
RBM34,-0.016483839552392663,0.0027652662049799537,0.003373386532306534,0.004312358257525552,0.006410922499298582
LUM,-0.014432379140369237,-0.0017396794676012787,0.005720553198018644,-0.0033210318881352276,-0.0012140430216694882
NCOA2,0.016084521735862296,-0.004004479392435532,0.005189471519200175,-0.0003387868398290216,-0.013237191341451616
ZNF710,0.016531940339798035,0.0005486915751710329,0.0017012755573850766,-0.003553506370070571,-0.0012871125701438024
ALDH8A1,-0.015794262508523015,0.013684864949757212,0.0027280504226553986,0.0015773497207711429,0.003888429621163959
PKMYT1,0.01609409928773531,-0.002754609552382415,-0.0022635344577092106,-0.0003846114451473806,0.0022347992748243924
SLC16A11,0.016136055047070174,-0.0006591086846507347,-0.0008072920488696458,-0.00553542038632741,-0.001065999157987031
TMEM95,0.016070868404598,0.004908219991687302,-0.0004194487832110359,-0.0004141197300294261,0.0031219115721841293
CRYBG3,0.016006735406369037,-0.00556524460800172,-0.0064599173101866384,-0.002207757781417781,-0.012410745985323891
CUBN,-0.015166216263760423,0.01896747868044965,-0.0077124983241244225,-0.00802560715127292,-0.0036848078485839067
LSM12,0.016469733228815033,0.0014059255252490868,-0.001981369363828516,-3.247815538002506e-05,-0.002227421796354697
