white_to_move,fullmove_number,halfmove_clock,w_p,b_p,diff_p,w_n,b_n,diff_n,w_b,b_b,diff_b,w_r,b_r,diff_r,w_q,b_q,diff_q,material_balance,total_material,bishop_pair_w,bishop_pair_b,king_distance,wk_file,wk_rank,bk_file,bk_rank,wk_center_dist,bk_center_dist,mobility_stm,mobility_other,in_check,w_passed_pawns,b_passed_pawns,w_isolated_pawns,b_isolated_pawns,w_doubled_pawns,b_doubled_pawns,w_most_advanced_pawn,b_most_advanced_pawn,w_rooks_open_file,b_rooks_open_file,w_rooks_7th,b_rooks_2nd,wk_pawn_shield,bk_pawn_shield,w_center_control,b_center_control,w_attackers_near_bk,b_attackers_near_wk,confirmed_optimal,fen,played_move
0,8,0,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,6,0,4,7,5,3,29,43,0,0,0,0,0,0,0,3,4,0,0,0,0,3,1,2,4,0,0,1,r1bqk2r/ppp1npbp/2n3p1/1B1p4/Q2NP3/2P5/PP3PPP/RNB2RK1 b kq - 0 8,Bd7
1,9,1,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,6,0,4,7,5,3,43,35,0,0,0,0,0,0,0,3,4,0,0,0,0,3,1,2,4,0,0,0,r2qk2r/pppbnpbp/2n3p1/1B1p4/Q2NP3/2P5/PP3PPP/RNB2RK1 w kq - 1 9,exd5
0,9,0,7,6,1,2,2,0,2,2,0,2,2,0,1,1,0,1,75,1,1,7,6,0,4,7,5,3,35,43,0,0,0,0,0,0,0,4,5,0,0,0,0,3,1,1,3,0,0,1,r2qk2r/pppbnpbp/2n3p1/1B1P4/Q2N4/2P5/PP3PPP/RNB2RK1 b kq - 0 9,Nxd4
1,10,0,7,6,1,1,2,-1,2,2,0,2,2,0,1,1,0,-2,72,1,1,7,6,0,4,7,5,3,38,37,0,0,0,0,0,0,0,4,5,0,0,0,0,3,1,1,3,0,0,1,r2qk2r/pppbnpbp/6p1/1B1P4/Q2n4/2P5/PP3PPP/RNB2RK1 w kq - 0 10,cxd4
0,10,0,7,6,1,1,1,0,2,2,0,2,2,0,1,1,0,1,69,1,1,7,6,0,4,7,5,3,30,36,0,0,0,2,0,1,0,4,5,0,0,0,0,3,1,2,3,0,0,1,r2qk2r/pppbnpbp/6p1/1B1P4/Q2P4/8/PP3PPP/RNB2RK1 b kq - 0 10,a6
1,11,0,7,6,1,1,1,0,2,2,0,2,2,0,1,1,0,1,69,1,1,7,6,0,4,7,5,3,35,31,0,0,0,2,0,1,0,4,5,0,0,0,0,3,1,2,3,0,0,1,r2qk2r/1ppbnpbp/p5p1/1B1P4/Q2P4/8/PP3PPP/RNB2RK1 w kq - 0 11,Bxd7+
0,11,0,7,6,1,1,1,0,2,1,1,2,2,0,1,1,0,4,66,1,0,7,6,0,4,7,5,3,2,0,1,0,0,2,0,1,0,4,5,0,0,0,0,3,1,2,3,1,0,1,r2qk2r/1ppBnpbp/p5p1/3P4/Q2P4/8/PP3PPP/RNB2RK1 b kq - 0 11,Qxd7
1,12,0,7,6,1,1,1,0,1,1,0,2,2,0,1,1,0,1,63,0,0,7,6,0,4,7,5,3,32,33,0,0,0,2,0,1,0,4,5,0,0,0,0,3,1,2,3,0,0,1,r3k2r/1ppqnpbp/p5p1/3P4/Q2P4/8/PP3PPP/RNB2RK1 w kq - 0 12,Qxd7+
0,12,0,7,6,1,1,1,0,1,1,0,2,2,0,1,0,1,10,54,0,0,7,6,0,4,7,5,3,2,0,1,0,0,2,0,1,0,4,5,0,0,0,0,3,1,2,3,1,0,1,r3k2r/1ppQnpbp/p5p1/3P4/3P4/8/PP3PPP/RNB2RK1 b kq - 0 12,Kxd7
1,13,0,7,6,1,1,1,0,1,1,0,2,2,0,0,0,0,1,45,0,0,6,6,0,3,6,5,2,22,37,0,0,0,2,0,1,0,4,5,0,0,0,0,3,0,1,3,1,0,1,r6r/1ppknpbp/p5p1/3P4/3P4/8/PP3PPP/RNB2RK1 w - - 0 13,Nc3
