gene,r,p_value
LRRC4B,-0.783779667278313,0.037020510606833534
ENC1,0.7835188009794968,0.037126672503821345
TBXAS1,-0.7831673087560973,0.03726998229113133
LEFTY1,-0.7830938797454602,0.03729995932743142
SF3B5,-0.7827643428595863,0.03743465585131184
CLN6,-0.7823423322960597,0.03760754395526837
ZNF654,0.782163493030213,0.0376809436523437
RARRES3,0.7820262440582473,0.03773732758618125
PPP1R15A,0.7819536916145247,0.03776715210882105
PRSS3,0.7818944869672589,0.03779149936325168
ARHGAP15,-0.7818620908187053,0.037804825603403175
DNPH1,-0.7817056672013821,0.03786920752978338
HERC6,0.7816740778040985,0.037882216687745475
BTBD6,0.7813829637133476,0.03800222004108284
PITX1,0.780954048653961,0.03817941134877567
SNX12,0.7807244268963203,0.0382744593905322
DOCK9,0.7806234294257854,0.038316307066453316
CALML4,-0.7801432774826932,0.038515601759850054
ZBTB18,-0.7791497666151457,0.03892979408003478
SNX1,-0.7788393693832563,0.039059701230723914
PCDH7,0.7788357191065988,0.03906123036693421
PLEKHG6,0.7784387169885744,0.03922773627976515
AFAP1L2,0.7772382984480171,0.039733588073243446
MPZL3,0.7771549991104383,0.03976882323018471
PDE7A,-0.7771081994443694,0.03978862681160844
SLC11A1,0.7770037049507524,0.0398328640225605
PIK3CG,-0.7768913460549489,0.039880460936109016
HBEGF,0.7768152292174603,0.03991272304003796
GPR110,0.7765724085929646,0.04001573898129109
C10orf12,0.7765402819109362,0.04002937963704339
GOLPH3,0.7764902822564126,0.04005061408755702
DAW1,-0.7759879305298998,0.04026430457760663
CCP110,0.7756824803064226,0.04039454458486186
PDE9A,-0.7754761801813461,0.04048263988747468
UBL7,-0.7752609443611059,0.04057466407698957
AP1S2,-0.7750809355918525,0.040651715640696286
LINC01279,-0.7749297406755131,0.04071649607608458
TMEM41B,0.774776059530103,0.04078240019044409
FSCN1,0.7745924674378679,0.040861208454892224
ANGPTL4,0.7742864885007065,0.04099273905954812
GDPD3,0.7742446425805191,0.04101074544876894
TP53I11,0.7739702748768555,0.04112891472299894
RNU1-13P,-0.7739500083848952,0.0411376508866766
COG2,-0.7738849680354696,0.04116569439205395
