gene,normal_mean,tumor_mean,change_pct,direction,p_value,abs_change
ETF1,6.826607506025124,6.785404039079617,-0.6035716409525747,DOWN,0.5273892773892773,0.6035716409525747
LDOC1,3.8840920270745123,3.9075296779145097,0.6034267642636304,UP,0.4178321678321678,0.6034267642636304
LOC100129361,4.633915041408471,4.6618660442270095,0.6031833248725782,UP,0.47261072261072257,0.6031833248725782
EXOSC4,3.2979725953430985,3.317837920628495,0.6023496166538033,UP,0.47261072261072257,0.6023496166538033
CEP95,5.771314934685449,5.8060567278907795,0.601973616039093,UP,0.4178321678321678,0.601973616039093
SUN1,6.901780657616647,6.860315709420623,-0.6007862355095933,DOWN,0.4178321678321678,0.6007862355095933
GBA,5.5458292323417355,5.579011239562343,0.5983236380070814,UP,0.47261072261072257,0.5983236380070814
LONP1,6.530395737553165,6.491392035302681,-0.5972639916168041,DOWN,0.3141025641025641,0.5972639916168041
C11orf49,4.539198534596579,4.56630193808494,0.5970966742649688,UP,0.47261072261072257,0.5970966742649688
RPL13A,6.208853319376865,6.245911444303261,0.5968594041470384,UP,0.5273892773892773,0.5968594041470384
EIF6,6.160517899036822,6.123818033630626,-0.5957269503580856,DOWN,0.3141025641025641,0.5957269503580856
PRMT7,4.444131741419751,4.470573686784414,0.5949856328115025,UP,0.5273892773892773,0.5949856328115025
PHKG2,4.441804479694433,4.468214752410157,0.5945843144707914,UP,0.4178321678321678,0.5945843144707914
ZNF501,3.054778855002557,3.0728895659886946,0.5928648797761313,UP,0.47261072261072257,0.5928648797761313
NF1,8.185855819454082,8.234343333185544,0.5923328580529053,UP,0.3141025641025641,0.5923328580529053
TAMM41,3.9511115676359787,3.9277420350983023,-0.5914672905999157,DOWN,0.36538461538461536,0.5914672905999157
SHOC2,6.762108583993155,6.722169401134648,-0.5906320840964913,DOWN,0.36538461538461536,0.5906320840964913
FTSJ3,5.778225879035685,5.744107096644348,-0.5904715929352164,DOWN,0.3141025641025641,0.5904715929352164
SEC31A,7.83513503433461,7.788882025298286,-0.5903281670786389,DOWN,0.4178321678321678,0.5903281670786389
LINC00310,1.5146035564874059,1.5235267606505165,0.5891445404898501,UP,0.47261072261072257,0.5891445404898501
EBNA1BP2,5.530903648036163,5.563418398008453,0.5878740987258984,UP,0.3141025641025641,0.5878740987258984
GAPVD1,6.929626939013985,6.889004785707068,-0.5862098156859299,DOWN,0.36538461538461536,0.5862098156859299
ZFHX2,3.6399635563657626,3.6612750781506866,0.5854872296084748,UP,0.47261072261072257,0.5854872296084748
EIF3J,5.843256681427565,5.8090562014727025,-0.5852982646401088,DOWN,0.47261072261072257,0.5852982646401088
CEP57L1,4.091238801470991,4.115172950017891,0.5850098150783875,UP,0.4178321678321678,0.5850098150783875
ZNF462,6.661749728351052,6.622804019309528,-0.5846168143450234,DOWN,0.4178321678321678,0.5846168143450234
PDIA3,8.166035979381068,8.118486950029574,-0.582277980057316,DOWN,0.4178321678321678,0.582277980057316
NCKAP1,8.330477934512428,8.378965379965896,0.5820487832107261,UP,0.18298368298368298,0.5820487832107261
BIRC6,8.935209121447594,8.883299040666039,-0.5809610057917164,DOWN,0.47261072261072257,0.5809610057917164
C12orf29,4.348266234260339,4.373389802661377,0.5777835819501439,UP,0.4178321678321678,0.5777835819501439
TMEM18,4.283369632609216,4.30806262698065,0.5764852555204831,UP,0.47261072261072257,0.5764852555204831
