gene,r_depth,p_depth,n_mean,t_mean
DNAI1,0.9045810362513296,3.632977199558414e-06,0.2387953300629073,0.41836829836829836
GDF11,0.9045217394298226,3.6471414105916668e-06,0.5783537476277282,0.6889685314685315
DLX2,0.9045195036202249,3.6476763774291353e-06,0.24498223672731903,0.615071386946387
CC2D2A,0.9044248255174994,3.6703903527576555e-06,0.6343110001701936,0.3513636363636364
CD1B,0.904288762462903,3.703239383668573e-06,0.23958046778580455,0.5669434731934732
NTS,0.9042319684375401,3.7170232294212935e-06,0.4288072221966516,0.3242162004662004
SPATA8,0.904017162800681,3.769543941314168e-06,0.09501290366087183,0.6939685314685313
MUC5B,0.9039146190168401,3.794833636994175e-06,0.13161680569366674,0.4355681818181818
FAM26E,0.9036289825397151,3.866025458025401e-06,0.4544341816959617,0.4712179487179487
ATXN7L3,0.9033589302224867,3.93435400183205e-06,0.7094861977391032,0.8490879953379953
RELT,0.9028539619240039,4.064824315897996e-06,0.2327807576498746,0.7789714452214452
