rcc_type,gene_a,gene_b,r,n,method,low_power
chRCC,SETD2,KDM5C,-0.07559629620556817,150,approx_depth_corr,False
chRCC,SETD2,KDM6A,-0.04768228182459392,150,approx_depth_corr,False
chRCC,PBRM1,KDM5C,,150,unavailable,False
chRCC,PBRM1,KDM6A,,150,unavailable,False
chRCC,KDM5C,KDM6A,0.12873585359176362,150,approx_depth_corr,False
cdRCC,EZH2,DNMT3A,0.4230769230769231,13,expr_direct,True
cdRCC,EZH2,DNMT3B,0.9395604395604396,13,expr_direct,True
cdRCC,EZH2,KDM1A,-0.1043956043956044,13,expr_direct,True
cdRCC,EZH2,HDAC1,-0.4010989010989011,13,expr_direct,True
cdRCC,EZH2,HDAC2,0.4945054945054945,13,expr_direct,True
cdRCC,EZH2,SETD2,-0.42857142857142855,13,expr_direct,True
cdRCC,EZH2,PBRM1,0.13736263736263735,13,expr_direct,True
cdRCC,EZH2,KDM5C,0.20329670329670327,13,expr_direct,True
cdRCC,EZH2,KDM6A,-0.12087912087912088,13,expr_direct,True
cdRCC,DNMT3A,DNMT3B,0.510989010989011,13,expr_direct,True
cdRCC,DNMT3A,KDM1A,-0.049450549450549455,13,expr_direct,True
cdRCC,DNMT3A,HDAC1,-0.0879120879120879,13,expr_direct,True
cdRCC,DNMT3A,HDAC2,-0.32417582417582413,13,expr_direct,True
cdRCC,DNMT3A,SETD2,0.07142857142857142,13,expr_direct,True
cdRCC,DNMT3A,PBRM1,0.14285714285714285,13,expr_direct,True
cdRCC,DNMT3A,KDM5C,0.5989010989010989,13,expr_direct,True
cdRCC,DNMT3A,KDM6A,0.21978021978021978,13,expr_direct,True
cdRCC,DNMT3B,KDM1A,-0.1868131868131868,13,expr_direct,True
cdRCC,DNMT3B,HDAC1,-0.4340659340659341,13,expr_direct,True
cdRCC,DNMT3B,HDAC2,0.4230769230769231,13,expr_direct,True
cdRCC,DNMT3B,SETD2,-0.2802197802197803,13,expr_direct,True
cdRCC,DNMT3B,PBRM1,0.2912087912087912,13,expr_direct,True
cdRCC,DNMT3B,KDM5C,0.3186813186813187,13,expr_direct,True
cdRCC,DNMT3B,KDM6A,0.016483516483516484,13,expr_direct,True
cdRCC,KDM1A,HDAC1,0.7527472527472527,13,expr_direct,True
cdRCC,KDM1A,HDAC2,0.2857142857142857,13,expr_direct,True
cdRCC,KDM1A,SETD2,0.15934065934065936,13,expr_direct,True
cdRCC,KDM1A,PBRM1,0.48901098901098894,13,expr_direct,True
cdRCC,KDM1A,KDM5C,0.21428571428571427,13,expr_direct,True
cdRCC,KDM1A,KDM6A,0.2912087912087912,13,expr_direct,True
cdRCC,HDAC1,HDAC2,0.054945054945054944,13,expr_direct,True
cdRCC,HDAC1,SETD2,0.10989010989010989,13,expr_direct,True
cdRCC,HDAC1,PBRM1,0.41208791208791207,13,expr_direct,True
cdRCC,HDAC1,KDM5C,0.19230769230769232,13,expr_direct,True
cdRCC,HDAC1,KDM6A,0.2967032967032967,13,expr_direct,True
cdRCC,HDAC2,SETD2,-0.5274725274725275,13,expr_direct,True
cdRCC,HDAC2,PBRM1,0.23076923076923078,13,expr_direct,True
cdRCC,HDAC2,KDM5C,-0.3021978021978022,13,expr_direct,True
cdRCC,HDAC2,KDM6A,-0.3186813186813187,13,expr_direct,True
cdRCC,SETD2,PBRM1,0.510989010989011,13,expr_direct,True
cdRCC,SETD2,KDM5C,0.4230769230769231,13,expr_direct,True
cdRCC,SETD2,KDM6A,0.6263736263736264,13,expr_direct,True
cdRCC,PBRM1,KDM5C,0.4835164835164835,13,expr_direct,True
cdRCC,PBRM1,KDM6A,0.6648351648351648,13,expr_direct,True
cdRCC,KDM5C,KDM6A,0.7747252747252747,13,expr_direct,True
