gene,r_depth,p_r_depth,OS_p,hi_OS,lo_OS,OS_gap
HNF1A,-0.2776941310278945,5.3870094107066244e-08,0.7241483202623333,25.885901639344258,27.53637362637363,-1.6504719870293734
RNF43,-0.07066842472042116,0.1743763176243645,0.7315121105354513,25.735573770491808,27.687527472527474,-1.9519537020356665
TSC2,-0.19306222486393823,0.00018303436440621112,0.7500887718956168,27.51486338797814,25.89846153846154,1.616401849516599
TWIST1,0.4631154735578683,4.028862065467371e-21,0.7518983208424594,26.052459016393446,27.368901098901095,-1.316442082507649
ACVR2A,0.15403040309590854,0.002933760832915887,0.7802886078006617,27.78775956284153,25.624065934065932,2.1636936287755972
SETD2,0.024436135454949645,0.6389588609491212,0.7989893444044466,26.650054644808737,26.768021978021977,-0.11796733321324027
FGFR1,0.38730410329329795,1.0024266387497118e-14,0.8229737946264104,25.904918032786888,27.517252747252744,-1.612334714465856
HAVCR2,0.3850504368922095,1.470346030960614e-14,0.828688933897682,27.027431693989072,26.388571428571424,0.6388602654176481
PIK3CA,0.009758646041378516,0.8513980065155048,0.8467963444116249,27.304207650273224,26.110274725274724,1.1939329249984993
CD68,0.21704874738466673,2.4765848614307366e-05,0.8607304092346248,26.752677595628413,26.664835164835164,0.08784243079324838
NFE2L2,-0.27087027723609713,1.1636701591601538e-07,0.88051202348546,25.43453551912568,27.99021978021978,-2.555684261094097
BAP1,-0.20992123773392882,4.597063681752488e-05,0.9425576511422493,27.306393442622948,26.108076923076922,1.198316519546026
RB1,0.018929509105796622,0.7162984181640936,0.9520325168841175,26.450437158469946,26.968736263736265,-0.5182991052663191
CD44,0.14520937075843876,0.005073031381061594,0.9674182435213404,25.255956284153005,28.16978021978022,-2.9138239356272138
ZEB2,0.18062720949612115,0.0004719614861616747,0.9838801136515323,28.50306010928962,24.904835164835163,3.598224944454458
