gene,r_depth,p_depth,r_TI,r_depth_T1,r_depth_T2,mean_normal,mean_tumour,T_minus_N,p_OS_pooled,med_OS_hi,med_OS_lo
PLA2G4C,-0.6257380564820085,6.335135226884417e-33,-0.6346745168340758,-0.37811723417542675,-0.7792788366214004,7.872078125,8.203400344827587,0.33132221982758736,0.047622484495240903,757.5,780.0
AQP7,-0.6184520342722577,5.390486059528908e-32,-0.5498226660560666,-0.35503719455193494,-0.7836477854416746,8.63409375,6.478717931034483,-2.155375818965517,0.1505647733592097,889.0,697.0
CCL15,-0.6103666706922148,5.437945076890589e-31,-0.5540374703396667,-0.5241651192833567,-0.7832836487724861,5.852334375,5.9103217241379316,0.05798734913793169,0.3996437856068258,791.5,765.0
RUNX1,0.5903641159269566,1.255474572076875e-28,0.4661027312253493,0.5526600407357084,0.6443404401557811,7.8438968749999995,8.8555,1.0116031249999997,0.018926294008883373,762.5,792.0
CUBN,-0.5863330174066852,3.5927015682817157e-28,-0.5549152939593366,-0.5520531958713288,-0.6767571739469135,12.5548375,9.928841379310343,-2.6259961206896563,0.09502274673079364,808.0,765.0
ERBB2,0.5555663127233743,6.918158001534881e-25,0.5680331093318178,0.5864007376605891,0.5580617725178549,13.0785375,12.651193448275862,-0.4273440517241376,0.10645572754244069,784.5,744.0
GPX3,-0.525121454844873,5.908585005445512e-22,-0.6051678536603623,-0.30840422637788767,-0.5935462679925323,16.808,13.486835862068965,-3.321164137931035,0.9454015173342066,811.5,729.0
GOT1,-0.5193465487066394,1.9717306062137134e-21,-0.44690022739127777,-0.4180791073447391,-0.4469049378085641,12.16313125,11.628553103448274,-0.5345781465517252,0.01997634528699762,708.5,797.0
SLC3A2,-0.5093535303258614,1.504050798343046e-20,-0.4709402519142785,-0.28854876366901006,-0.49337418366093505,12.508684375,12.049484827586205,-0.4591995474137942,0.41501021379918135,786.0,767.0
LDHB,-0.5063932040310807,2.7110914665626516e-20,-0.4679332742599508,-0.36477334413369183,-0.4752484870527725,14.688675,14.220670689655174,-0.4680043103448259,0.9647694963463411,779.0,768.0
SLC16A1,-0.4877587597799937,9.727596346532817e-19,-0.531570728731909,-0.3920412905373131,-0.4264927900403861,8.267953125,7.812585862068965,-0.455367262931035,0.03252166666775843,667.5,823.0
KIT,0.47615392089497866,8.117869545610476e-18,0.491430635189952,0.2200171175352276,0.5905480305978406,9.9118125,6.849325862068966,-3.062486637931034,0.9258302280773594,761.0,791.0
ACADM,-0.4690345033044116,2.868528374500949e-17,-0.4116164537085941,-0.23076490374421474,-0.5739329827458541,12.022781250000001,10.50090448275862,-1.5218767672413804,0.32199757809892854,755.5,786.0
SOX4,0.4634138385315381,7.612679692762266e-17,0.4476356680192647,0.41988538611273984,0.3912022854174191,10.8076625,11.687945862068966,0.8802833620689672,0.682906073952777,822.0,708.0
AXL,0.4558645501512119,2.746175083579231e-16,0.42368197143814357,0.23791792769807352,0.4384539308685361,9.33301875,10.333124137931035,1.0001053879310344,0.024558881002930074,791.0,740.0
LRP2,-0.4521339962765017,5.117105196201247e-16,-0.42057938672010314,-0.3979789941500105,-0.6289150688501812,12.315153125,12.079445862068965,-0.23570726293103483,0.6945999517287722,783.0,769.0
FH,-0.45125735814813783,5.916471052186532e-16,-0.3487712121939419,-0.24525379978075496,-0.5435107525196441,11.087171875000001,10.69863,-0.38854187500000137,0.0549008430618472,779.0,767.0
FTL,-0.4500485003555711,7.222609455118826e-16,-0.5680998233262576,-0.4145069563289173,-0.47624642242285153,16.01404375,16.249876896551726,0.2358331465517267,0.8694524867525258,768.0,780.0
CDK2,0.4436714649890913,2.0419868032017064e-15,0.4263403341433004,0.031244326664779613,0.5961198263109692,8.33230625,8.896037586206898,0.5637313362068976,0.029367720461626303,743.0,791.0
SLC1A5,-0.44282943358998783,2.3385556629696916e-15,-0.4554619135749083,-0.36752048495079276,-0.5034202253356845,10.707640625,10.475574137931034,-0.23206648706896615,0.21430354726305292,783.0,767.0
KDM1A,0.44266514429941883,2.4011524100570145e-15,0.4104529515606757,0.5489362512556983,0.35558928955881564,10.255859375,10.192461379310346,-0.06339799568965354,0.5662250974820546,773.5,771.0
CTSG,0.4370823045308776,5.842505322235264e-15,0.44505387939027496,0.0507676464473546,0.462035759082954,3.581046875,3.8709275862068964,0.2898807112068962,0.8382119550051426,767.5,791.0
MET,0.4336423104119825,1.002406614557347e-14,0.3931109871917287,0.31374913700611806,0.47646286860881243,11.236662500000001,13.393928965517242,2.1572664655172407,0.40030716896861596,794.0,708.0
MIOX,-0.428849645779522,2.105120861097895e-14,-0.35934045704996703,-0.4984604450822608,-0.558058144334411,12.460465625,9.831042413793103,-2.6294232112068965,0.0006830950797464685,785.5,740.0
CISD1,-0.4230302927943248,5.102064546717847e-14,-0.3276272494077746,-0.34533233801472474,-0.38576555697069476,9.8290375,9.714993103448275,-0.1140443965517246,0.09099168421570444,754.5,791.0
OGDHL,-0.4018732728399567,1.1081635599654861e-12,-0.3229688612014016,-0.3917060432404644,-0.4285628448797121,13.25765625,12.42254551724138,-0.8351107327586202,0.000405369131375802,786.0,757.0
HAVCR2,-0.3960988704810479,2.4738104610885066e-12,-0.4438730095167881,-0.25744086372107633,-0.45856945608521427,8.099325,9.621850000000002,1.5225250000000017,0.1170215572500172,781.0,765.0
ITGB1,0.3860491267671775,9.647589181558013e-12,0.2866988198182608,0.30788820484436125,0.44608950561128413,12.904896875000002,13.067200000000001,0.16230312499999933,0.033676530358348736,785.5,767.0
GLS,-0.3735786668266642,4.9021380180184124e-11,-0.31320508115821677,-0.32986315123054283,-0.3037610220766951,12.95905625,12.465163793103448,-0.4938924568965515,0.07874847957836795,699.5,805.0
PDK2,-0.36721402488215604,1.0946102329824905e-10,-0.2896645452759796,-0.30143117955711474,-0.33557504167058705,11.774615625,11.140938275862071,-0.633677349137928,0.024033564650587824,832.5,740.0
KRT8,0.36269407217142274,1.916085832748854e-10,0.3488825333189598,0.22576211620720518,0.37910769107141573,12.87260625,14.350127241379314,1.477520991379313,0.9923038048830837,733.0,792.0
KRT18,0.34419055433395357,1.733415956130375e-09,0.3151188591007503,0.2016477043460993,0.33680622468891175,12.37335,13.766959310344827,1.3936093103448268,0.6738285995245858,753.5,791.0
STAT3,0.3390754335966886,3.1082591197309115e-09,0.2822729731170201,0.16811829869446068,0.44579963059414335,12.441671875,12.066077931034481,-0.3755939439655194,0.03274301901746604,719.0,823.0
FTH1,-0.3259135813428426,1.3310590876693769e-08,-0.4120840424325849,-0.23826348251224702,-0.24777242532973331,14.585046875,15.278651379310345,0.6936045043103451,0.05838905870712487,632.5,797.0
ITGA6,-0.32228854556034375,1.9632373620271666e-08,-0.25151439057375163,-0.44379816395873306,-0.41147663286346914,11.75516875,11.37414724137931,-0.3810215086206892,0.8223907244403925,791.5,767.0
CD274,-0.3192672432310273,2.7036332212146924e-08,-0.35406178167045205,-0.336172853419473,-0.24311203867359643,4.823453125,4.803494137931034,-0.01995898706896604,0.3744463136712688,795.5,757.0
