gene,loading,n_mean,t_mean,expr_delta,pc1_shift,direction,abs_gap
C19orf84,0.0161450657405438,0.211080021964589,0.9008916083916084,-0.6898115864270193,-0.0111370534114531,restore_normal,0.6898115864270195
SLCO4C1,-0.0163375396743639,0.7735998912474538,0.0927068764568764,0.6808930147905774,-0.0111241166431383,restore_normal,0.6808930147905774
COL4A5,-0.0163114406392595,0.8127861310532406,0.1310766317016316,0.681709499351609,-0.0111196640318931,restore_normal,0.681709499351609
TMEM95,0.016070868404598,0.1644395229873553,0.8550116550116551,-0.6905721320242998,-0.0110980938576451,restore_normal,0.6905721320242998
SUMO4,0.016022895487176,0.1935436738879355,0.8860256410256412,-0.6924819671377056,-0.0110955661862015,restore_normal,0.6924819671377057
IRGQ,0.0161753103916236,0.1533228933743367,0.8392409673659672,-0.6859180739916305,-0.0110949377500392,restore_normal,0.6859180739916305
SCFD1,0.0162637047605382,0.1654911900803976,0.8476791958041958,-0.6821880057237981,-0.0110949043162722,restore_normal,0.6821880057237982
KRT19,-0.0162360246647962,0.9102695157835696,0.2305273892773892,0.6797421265061804,-0.0110363099316553,restore_normal,0.6797421265061805
NOVA2,0.0164379711238227,0.100850860226218,0.767333916083916,-0.666483055857698,-0.0109556292267059,restore_normal,0.666483055857698
ATP5J2,-0.0165285934964841,0.9684810287819609,0.3074752331002331,0.6610057956817277,-0.0109254960956433,restore_normal,0.6610057956817277
NUP50,0.0163369765220587,0.2071441645588724,0.8750699300699301,-0.6679257655110576,-0.0109118875496322,restore_normal,0.6679257655110576
SLITRK4,-0.0161182229370157,0.7236941398861737,0.0468822843822843,0.6768118555038893,-0.0109090043734269,restore_normal,0.6768118555038894
CYP4X1,-0.0164137031341988,0.7142944303924832,0.0512470862470862,0.663047344145397,-0.0108830622707215,restore_normal,0.663047344145397
FKBP9,0.0160284543688392,0.2307603793922487,0.9096853146853148,-0.6789249352930659,-0.010882117345212,restore_normal,0.6789249352930661
PCDHGA1,0.0159381857328457,0.1983636809311615,0.880696386946387,-0.6823327060152254,-0.0108751454000658,restore_normal,0.6823327060152254
PABPC5,-0.0164974270065776,0.6628703179406378,0.0039044289044288,0.6589658890362089,-0.0108712416541994,restore_normal,0.658965889036209
CRYBG3,0.016006735406369,0.2132020881345191,0.8921867715617716,-0.6789846834272524,-0.0108683281725972,restore_normal,0.6789846834272525
ZNF843,0.0160768230798952,0.2003043144575592,0.8756614219114218,-0.6753571074538626,-0.0108575967322855,restore_normal,0.6753571074538627
GGA1,0.0160053777369948,0.2740243044814398,0.95136655011655,-0.6773422456351103,-0.0108411184986143,restore_normal,0.6773422456351103
CDH2,-0.0162926828631395,0.9156707495255456,0.2504967948717949,0.6651739546537506,-0.0108374682919939,restore_normal,0.6651739546537507
PSG11,0.0162584846349249,0.1185804153362497,0.7846998834498834,-0.6661194681136337,-0.0108300931373498,restore_normal,0.6661194681136337
ALDH8A1,-0.015794262508523,0.747034191757713,0.0614510489510489,0.6855831428066641,-0.0108282801289066,restore_normal,0.6855831428066641
POM121L12,0.0159818847728322,0.249344112965637,0.926107226107226,-0.6767631131415891,-0.0108159500927321,restore_normal,0.676763113141589
FN1,0.0162479872246927,0.2655751093680256,0.9305536130536132,-0.6649785036855874,-0.0108045622325787,restore_normal,0.6649785036855875
SVIP,0.0159247142201569,0.2413830198312836,0.9177986596736596,-0.6764156398423761,-0.0107717257585344,restore_normal,0.676415639842376
GLDC,-0.016385036919253,0.929706892620776,0.2723863636363636,0.6573205289844123,-0.0107702211351925,restore_normal,0.6573205289844124
RHO,0.0164700619754107,0.0963284241263669,0.7494915501165502,-0.6531631259901832,-0.0107576371651113,restore_normal,0.6531631259901833
TMED8,0.0159217238493246,0.1859411644443397,0.8612718531468533,-0.6753306887025136,-0.0107524287324956,restore_normal,0.6753306887025136
TEAD1,0.0158099347441388,0.1608804460567033,0.8402360139860139,-0.6793555679293106,-0.0107405671970297,restore_normal,0.6793555679293106
DGCR6L,-0.0164651562595855,0.889469520921485,0.2375203962703963,0.6519491246510887,-0.0107344442106802,restore_normal,0.6519491246510887
C4orf17,0.0164419915810289,0.0875067301341958,0.7393560606060606,-0.6518493304718648,-0.0107177012037177,restore_normal,0.6518493304718649
AMPD3,0.0159716944069935,0.2731364084471612,0.9440646853146856,-0.6709282768675242,-0.0107158614071388,restore_normal,0.6709282768675244
FAM150B,-0.0158069971434511,0.7380160795349331,0.0617671911421911,0.676248888392742,-0.010689464247086,restore_normal,0.676248888392742
AGAP11,0.0162969171261527,0.1202245483183494,0.775437062937063,-0.6552125146187135,-0.0106779440507593,restore_normal,0.6552125146187137
TOX2,-0.0163981077632168,0.7061032014565993,0.0556905594405593,0.65041264201604,-0.0106655365943375,restore_normal,0.65041264201604
CDK16,0.0159006337938352,0.2492269042667177,0.9180390442890444,-0.6688121400223265,-0.0106345369153662,restore_normal,0.6688121400223267
FXYD3,0.0160999629560167,0.1549097600058229,0.813420745920746,-0.6585109859149231,-0.0106020024793603,restore_normal,0.6585109859149231
NBN,0.0160711930547695,0.1225430327188885,0.7821474358974358,-0.6596044031785473,-0.0106006297032585,restore_normal,0.6596044031785473
HOXB8,-0.0160968300353622,0.924496189914486,0.2665005827505827,0.6579956071639033,-0.0105916434525323,restore_normal,0.6579956071639033
C9orf24,0.0160701907845443,0.0981786089307675,0.7558391608391608,-0.6576605519083932,-0.0105687305406366,restore_normal,0.6576605519083933
RUNDC3B,-0.0159342906332239,0.6839448701659441,0.0242511655011654,0.6596937046647786,-0.0105117512190367,restore_normal,0.6596937046647787
NDUFAF5,0.0162021377579949,0.1116661724990928,0.7600641025641026,-0.6483979300650098,-0.010505432584912,restore_normal,0.6483979300650098
CLDN10,-0.0161506338805828,0.9747824681475996,0.3244857226107225,0.6502967455368771,-0.0105027046509006,restore_normal,0.6502967455368771
FLRT3,-0.0161971980578965,0.917908953995318,0.2696998834498834,0.6482090705454346,-0.0104991706985494,restore_normal,0.6482090705454346
ZNF93,0.0159997685781798,0.2571671246190717,0.9124475524475524,-0.6552804278284807,-0.0104843351990664,restore_normal,0.6552804278284807
ZNF292,0.0160731586986108,0.2610537436672514,0.9132837995337992,-0.6522300558665479,-0.0104833971959468,restore_normal,0.6522300558665478
SLC4A7,-0.015879533488625,0.8211443422451192,0.1612441724941724,0.6599001697509468,-0.0104789068447094,restore_normal,0.6599001697509468
SHMT1,-0.0164811870571222,0.9722263551519912,0.337132867132867,0.6350934880191242,-0.0104670945748034,restore_normal,0.6350934880191241
IRX1,-0.0164033251813588,0.7916527068787055,0.1537004662004661,0.6379522406782393,-0.0104645380540216,restore_normal,0.6379522406782394
ATG4A,0.0160592142692297,0.1321605684247257,0.7820410839160841,-0.6498805154913583,-0.0104365704476732,restore_normal,0.6498805154913584
CACNG4,0.016110519638437,0.29819980283249,0.9458770396270396,-0.6476772367945496,-0.0104344168427472,restore_normal,0.6476772367945496
PRKACA,0.0161396639676007,0.305466206965943,0.9509513403263404,-0.6454851333603975,-0.0104179131485187,restore_normal,0.6454851333603975
C2orf15,-0.0162641043703846,0.6564602330686949,0.0163228438228437,0.6401373892458512,-0.01041126131008,restore_normal,0.6401373892458513
ANKRD33,-0.0164960265217775,0.8855497195019219,0.2564845571095571,0.6290651623923648,-0.0103770756027507,restore_normal,0.6290651623923648
HR,0.0160258765766157,0.1568450415368361,0.8037077505827506,-0.6468627090459145,-0.0103665419371851,restore_normal,0.6468627090459145
TBRG4,-0.0165496426356557,0.7645791030269815,0.1384819347319346,0.6260971682950468,-0.010361684390479,restore_normal,0.6260971682950469
N4BP1,0.0160623838968115,0.2903248768238262,0.9345571095571096,-0.6442322327332832,-0.010347905440862,restore_normal,0.6442322327332834
SYT15,0.0160714218530949,0.1550944038465861,0.798834498834499,-0.6437400949879128,-0.0103458186303021,restore_normal,0.6437400949879128
ICK,-0.0165118090093425,0.6529102545301966,0.0290705128205127,0.6238397417096838,-0.0103007226675478,restore_normal,0.6238397417096839
HIPK3,0.0160133481223479,0.3351858373357338,0.977619463869464,-0.6424336265337303,-0.0102875133071871,restore_normal,0.6424336265337302
AKR1E2,0.0159047242817257,0.2063397596525913,0.8521794871794871,-0.6458397275268958,-0.0102719027965001,restore_normal,0.6458397275268958
DACH1,-0.0159613843383449,0.7814662540635025,0.138902972027972,0.6425632820355305,-0.0102561995062774,restore_normal,0.6425632820355305
TMIGD2,0.0162031932148904,0.1369859274633361,0.769433275058275,-0.6324473475949388,-0.0102476665713257,restore_normal,0.6324473475949388
CA1,0.0165387018736192,0.1909832792960198,0.8094347319347318,-0.6184514526387119,-0.0102283841984984,restore_normal,0.618451452638712
C1orf94,0.0161009270504505,0.1368826339524164,0.7714918414918414,-0.634609207539425,-0.0102177965561365,restore_normal,0.634609207539425
CXorf57,-0.0164305051802195,0.6398562025880108,0.0182575757575757,0.6215986268304351,-0.0102131794581548,restore_normal,0.6215986268304351
FGFR2,0.0158420437184462,0.1472253650328451,0.7916899766899766,-0.6444646116571315,-0.0102096365528637,restore_normal,0.6444646116571315
SFTPB,0.0159766647515318,0.2470432901498665,0.8860445804195806,-0.639001290269714,-0.0102091093904355,restore_normal,0.6390012902697141
NRG2,0.0160423735803299,0.1208780269547894,0.756368006993007,-0.6354899800382176,-0.0101947676663295,restore_normal,0.6354899800382176
