gene,ilc_mean,norm_mean,pct_change,pval,abs_pct
CCDC33,0.6902230392156863,0.6886470355731226,0.2288550681485323,0.17780043746002283,0.2288550681485323
TTC39C,9.197536274509803,9.176595652173912,0.22819597952896614,0.9298819747345034,0.22819597952896614
LRRFIP2,9.967135784313726,9.989915019762845,-0.22802231454477784,0.4779232753012548,0.22802231454477784
C9orf130,6.746996078431373,6.7624130434782606,-0.22798023350194657,0.4048963180570042,0.22798023350194657
KCND1,6.201507843137254,6.1874241106719365,0.2276186699571121,0.93923043783515,0.2276186699571121
MAP2K3,9.824574019607843,9.846950988142291,-0.2272476887657404,0.7557970192691567,0.2272476887657404
NUDT4,9.967159313725489,9.989817786561265,-0.2268156769211233,0.4329799462852155,0.2268156769211233
CCDC104,9.605071568627451,9.583345849802372,0.2267028568683815,0.8689888098551476,0.2267028568683815
ZNF655,10.085274019607843,10.108145454545454,-0.2262673706117544,0.02832841223994206,0.2262673706117544
C6orf141,5.583608823529412,5.59626442687747,-0.22614376989186824,0.9693091129067296,0.22614376989186824
C7orf70,8.943447058823528,8.92334466403162,0.22527869928568497,0.1224206027495936,0.22527869928568497
TATDN2,10.403767156862743,10.427222924901184,-0.22494741128460594,0.974138229957373,0.22494741128460594
SPG21,10.855434313725489,10.879762055335966,-0.22360545650486857,0.8816232412707198,0.22360545650486857
ZCCHC7,8.922723529411764,8.942690513833993,-0.2232771489893458,0.7237898398652514,0.2232771489893458
SELT,10.99100980392157,11.01555256916996,-0.22280103602864929,0.9659009819935527,0.22280103602864929
HPDL,3.7416029411764704,3.7332853754940714,0.22279479990993958,0.772644615484023,0.22279479990993958
MT1F,6.491024509803922,6.476619367588932,0.22241761322392867,0.6864853541857558,0.22241761322392867
C1orf212,9.140641666666667,9.120362055335967,0.22235533203240998,0.7972907149838548,0.22235533203240998
TLX1,1.2541058823529414,1.2568861660079051,-0.22120409390728055,0.2510146664663022,0.22120409390728055
C1orf135,5.234690196078431,5.2231411067193685,0.22111386851497067,0.1992951018773127,0.22111386851497067
RCCD1,7.345233333333333,7.329056126482214,0.2207270154838333,0.43360726791808146,0.2207270154838333
UBE2B,10.252386274509803,10.275050592885377,-0.22057622170023056,0.945751063919092,0.22057622170023056
C14orf101,8.854541666666668,8.87410909090909,-0.2205001543475314,0.08187363473630262,0.2205001543475314
LRRFIP1,11.661224509803919,11.686973122529645,-0.2203189179590838,0.9157364594304733,0.2203189179590838
LYAR,7.990975490196079,8.008603162055335,-0.2201091938576253,0.8185394399690585,0.2201091938576253
NCKIPSD,9.100165686274508,9.080190513833992,0.21998627022288614,0.6537803690267963,0.21998627022288614
ZSCAN22,6.9991039215686275,6.9837735177865605,0.21951461832235625,0.8174321904282617,0.21951461832235625
SLC5A8,2.7512651960784313,2.7452426877470355,0.2193798150624849,0.22072400180763985,0.2193798150624849
NDUFAF2,7.225358823529412,7.241240711462451,-0.21932550740785722,0.3655339275889483,0.21932550740785722
GNRHR,2.4323245098039217,2.437665612648221,-0.2191072810227197,0.9585188266198279,0.2191072810227197
UTP14A,9.018117156862745,9.037861660079052,-0.21846432219160952,0.34495800261645604,0.21846432219160952
PIPOX,4.018571078431372,4.009822529644269,0.21817795482035068,0.4576162582957646,0.21817795482035068
CPSF6,10.778719117647057,10.755327667984188,0.21748709462845228,0.7824770381497157,0.21748709462845228
