sample_id,depth_s1_TF,depth_s2_metabolic,metab_score,depth_combined
GSM363121,0.45476826718534646,0.6279032482668112,0.7210431548497553,0.664317595115549
GSM363122,0.1982604879256465,0.2394180605241973,0.25789597969183575,0.24302127281275246
GSM363123,0.29142288533010974,0.39650754869666816,0.3456225278942089,0.37564246331280243
GSM363124,0.053972240697433976,0.0620061324657745,0.0,0.023462264081556564
GSM363125,0.371763490115067,0.3986513466647598,0.28735462542062706,0.3917094238870494
GSM363126,0.26554065100369195,0.39879196491318025,0.30621642363775925,0.35227131071176504
GSM363127,0.5436820738439923,0.6984988933677614,0.5336353976031645,0.6685837849961666
GSM363128,0.3003562874108087,0.338706115301986,0.40021547907196386,0.3744262270362831
GSM363129,0.7008792191341926,0.8355950338830482,0.6717486274278294,0.8375524602943244
GSM363130,0.11221107104306136,0.12405563663076603,0.23254029163468926,0.1510505529904916
GSM363142,0.278291044755957,0.33204223657785387,0.27841076805006215,0.3216324437216231
GSM363143,0.2560605353765193,0.42192000525929585,0.47699096758958615,0.4144189111608531
GSM363144,0.20464061714061027,0.29558546509959494,0.2104167896570045,0.2525512138581777
GSM363145,0.4678176248280613,0.5733902224422318,0.5155115414133067,0.5794906777194377
GSM363146,0.38172009995877265,0.5693715743205917,0.6409764448904895,0.5825868905904178
GSM363147,0.42553229350372457,0.6322922443436341,0.6408436153255799,0.6267502318718549
GSM363148,0.3828087590909748,0.40675575386940216,0.31781687230651157,0.40988590782143675
GSM363149,0.11848860840731629,0.2111846789027209,0.07360233780034287,0.13584493300525516
GSM363150,0.6189151695422683,0.8015718493708832,0.777864690949879,0.8239042261754091
GSM363151,0.29869534447546053,0.370658981442508,0.2834435326760729,0.3476469108369842
GSM363152,0.3515249701790257,0.40901234410002707,0.1628342877383553,0.3456499956759107
GSM363164,0.29701742576679624,0.38707575171434233,0.31070311116358706,0.36261774961531795
GSM363166,0.18330208203715392,0.3324758050663116,0.21835704587047633,0.2608488585524349
GSM363168,0.20939070650052333,0.3732591565516053,0.500236141448728,0.3824674017659237
GSM363169,0.3731391045713134,0.49406837749866667,0.39909380719050713,0.4679525765176442
GSM363170,0.39170824449312086,0.49377730632288336,0.2827055906487985,0.43704264018149463
GSM363172,0.3471058446400018,0.4597727598472332,0.371007733632446,0.43356678127608766
GSM363174,0.36041388557208226,0.383145214702134,0.28636578310407934,0.3802471606991669
GSM363176,0.045704277972183155,0.030979325227259172,0.06808253143633036,0.030105147581702848
GSM363178,0.2578276257104031,0.30986343955812035,0.28877147411299364,0.30733967126331896
GSM363180,0.3611264546155609,0.39436145240798176,0.3768669933290043,0.4152357086743596
