gene,cl_mean,nor_mean,pct_change,pval,abs_pct
PRKD2,10.186,9.937891228070175,2.496593756520769,2.9173502270980857e-07,2.496593756520769
CADM1,9.80801305970149,9.569130701754386,2.4963851513002,0.11947219174637867,2.4963851513002
ZNF440,8.239008208955223,8.038383333333332,2.495836131501039,0.0027903891846477757,2.495836131501039
SLC7A1,10.150478731343284,9.903364912280702,2.4952510712409226,0.05022844022180494,2.4952510712409226
PIGY,10.517004104477612,10.786103508771928,-2.4948713321309004,3.1611740645514074e-14,2.4948713321309004
MN1,8.254716417910448,8.053888596491229,2.493551022132491,0.006291186221303325,2.493551022132491
LOC285033,5.230721268656716,5.364478947368422,-2.4933955380199837,0.0011992759631092827,2.4933955380199837
ARHGAP1,11.990185820895523,11.698564035087719,2.4927998422125763,6.561864447878199e-14,2.4927998422125763
RCN2,10.202652238805971,9.954647368421055,2.4913476209278627,2.7426394137512686e-06,2.4913476209278627
MT2A,10.930377985074626,11.209601754385968,-2.4909338924738353,0.012587228907925255,2.4909338924738353
TOR1AIP1,10.90153694029851,11.179974561403508,-2.4905031722187068,1.2386347200647715e-07,2.4905031722187068
RPS4X,14.974662313432837,15.35697368421053,-2.4894968151880796,3.517123732300046e-08,2.4894968151880796
CCDC39,4.523894776119403,4.639382456140351,-2.4892899240953237,0.22044690995286564,2.4892899240953237
C12orf73,6.850946641791045,6.684686842105264,2.4871740982472006,0.0011128743882408085,2.4871740982472006
DR1,10.30425447761194,10.054265789473682,2.486394266600584,1.3947110215750741e-08,2.486394266600584
ZNF785,7.9141242537313445,7.7221403508771935,2.4861488412644905,0.013921260408531803,2.4861488412644905
RNF216L,8.087642164179105,7.8915,2.485486462384908,2.1234574497586813e-08,2.485486462384908
IGDCC4,6.773682462686567,6.609633333333333,2.4819701953194717,0.048935527892045465,2.4819701953194717
PTDSS1,10.795708208955224,10.53427894736842,2.481700578586932,0.0002868363665960603,2.481700578586932
APRT,10.262655597014923,10.014240350877193,2.4806199714985913,0.0003920379742626914,2.4806199714985913
NSMCE1,10.022848134328358,9.780279824561404,2.480177603485202,3.5954858387826984e-07,2.480177603485202
IDH3A,9.724597014925374,9.971882456140351,-2.4798270768094253,1.1047633844090734e-06,2.4798270768094253
C1orf83,7.5899738805970145,7.782967543859649,-2.479692510280303,1.5858963066484836e-06,2.479692510280303
GLRX3,9.64945447761194,9.415993859649122,2.479404951221129,1.2911658224552825e-06,2.479404951221129
CCDC113,7.832827238805969,8.031869298245613,-2.4781536159100734,0.026398608802269984,2.4781536159100734
ZFPL1,9.045973507462687,8.827291228070177,2.4773429780714125,3.2433297581548754e-06,2.4773429780714125
TM9SF1,10.82285485074627,10.561231578947368,2.477204195772191,1.112892603585409e-10,2.477204195772191
C6orf211,10.148229850746269,9.902917543859648,2.4771720636887284,0.07011378852600177,2.4771720636887284
FASTKD1,8.222324253731344,8.02369298245614,2.4755592182990114,1.4006909320524327e-06,2.4755592182990114
KDM3B,11.221924253731343,11.506699122807017,-2.4748615222868917,1.1203567105779913e-10,2.4748615222868917
GRAP,7.164088805970149,6.991111403508773,2.4742475477441253,0.06933381793458247,2.4742475477441253
CPD,11.508276492537314,11.800206140350877,-2.473936847724272,1.9999589364348448e-05,2.473936847724272
CHN1,8.234914179104475,8.036171929824562,2.473096033975123,0.058871588069984035,2.473096033975123
GSPT1,12.008697388059701,11.719045614035087,2.4716327895995085,5.524084157255056e-11,2.4716327895995085
EDEM1,10.813624253731344,10.552832456140353,2.471296674849086,5.02340739201318e-07,2.471296674849086
PHF23,9.59886604477612,9.36741140350877,2.470849536731709,2.6836847640734687e-07,2.470849536731709
SGTA,10.498230970149253,10.245107017543859,2.4706813913406784,6.773832897523778e-08,2.4706813913406784
MICALL1,9.472553358208955,9.712474561403509,-2.470237648271209,2.165749578733913e-06,2.470237648271209
LSM11,7.884474626865672,7.694421052631579,2.4700178601363714,0.0018906212334132886,2.4700178601363714
ETF1,11.473208582089553,11.763759649122806,-2.4698827220166657,3.6179982911474884e-15,2.4698827220166657
ZNF816A,7.7005921641791035,7.515024561403509,2.4692880410351967,0.0013571729063704433,2.4692880410351967
RPL6,13.02324589552239,13.352964912280703,-2.4692569697016933,7.16760885558514e-09,2.4692569697016933
ZNF574,9.005719029850747,8.78880701754386,2.4680484151477655,2.5858552094987436e-05,2.4680484151477655
KRIT1,9.442557835820896,9.681411403508772,-2.46713581039754,1.8473864377353236e-11,2.46713581039754
MGEA5,11.924937686567164,12.22657192982456,-2.467038553313648,1.1017963413000229e-10,2.467038553313648
TAB2,11.194295895522389,11.477295614035087,-2.4657352047866605,1.6356205958217394e-08,2.4657352047866605
KIAA0125,4.122410820895523,4.023252631578947,2.464627464312642,0.9382495674002503,2.464627464312642
PSPC1,9.795911567164179,9.56030701754386,2.464403592771319,4.184763052054494e-07,2.464403592771319
GART,10.53091567164179,10.277679824561405,2.463939832754922,7.060387236374207e-09,2.463939832754922
FLJ37307,2.5922085820895524,2.529874561403508,2.4639174462255964,0.7409163872234759,2.4639174462255964
TNFRSF10C,5.301949626865672,5.435884210526316,-2.4638969204179637,0.15909288754043416,2.4638969204179637
IL17RA,8.30933171641791,8.519192105263159,-2.463383690051978,3.452690649867738e-05,2.463383690051978
NUMB,10.547385820895524,10.813766666666668,-2.463349302627918,8.969970545787212e-15,2.463349302627918
CEP350,10.821640298507463,10.561504385964913,2.463057373609031,0.0003580941788879156,2.463057373609031
TSGA14,8.211166791044777,8.013815789473686,2.46263461446563,7.652974103581372e-05,2.46263461446563
TRIM36,6.196724253731344,6.353170175438596,-2.462485930442611,0.03120311672356615,2.462485930442611
STAU2,9.912226119402986,9.674042105263158,2.4620940404036857,6.6088585487823395e-06,2.4620940404036857
REEP1,7.539753358208954,7.358581578947368,2.462047574221528,0.0050061522635048835,2.462047574221528
AKD1,6.982013059701491,7.158235087719299,-2.46180833485247,0.0025591174590266098,2.46180833485247
FBXL20,7.226267537313433,7.408639473684211,-2.461611703721994,8.188560499986145e-05,2.461611703721994
ZFP14,8.020026119402985,8.222373684210526,-2.4609385632291323,0.003101174327988695,2.4609385632291323
DHFRL1,8.030483208955223,8.233069298245614,-2.460638699270507,0.00012843340173973074,2.460638699270507
NASP,10.88823656716418,10.626899122807021,2.459206974086039,0.005447692390559907,2.459206974086039
RPP30,8.74873582089552,8.96926754385965,-2.458748408225425,6.69812409643595e-13,2.458748408225425
CALD1,12.9740526119403,13.301027192982458,-2.4582656384212798,1.152560875569666e-07,2.4582656384212798
VN1R1,3.6396134328358207,3.552290350877193,2.4582191581570636,0.3322262272082781,2.4582191581570636
ATPAF2,8.056401865671642,7.863121929824561,2.4580559423093358,0.00010617633884584836,2.4580559423093358
PDCD11,10.243326492537316,9.99765438596491,2.4572974528634326,3.125379361814505e-05,2.4572974528634326
POLR1B,9.479932462686568,9.2526649122807,2.456238851838507,0.00012581648059383256,2.456238851838507
ZNF761,8.789313059701493,8.578642105263157,2.4557610849517335,0.00023549261639989937,2.4557610849517335
MRPS7,10.06990895522388,9.828543859649125,2.455756407270811,3.491360326796675e-07,2.455756407270811
PDXK,11.246835820895523,11.529976315789474,-2.4556901691654867,4.116520843078172e-05,2.4556901691654867
QSOX2,8.41730223880597,8.21557894736842,2.455375241718835,0.00374603913754275,2.455375241718835
CCDC84,6.468395149253731,6.631200877192983,-2.455146977965898,0.007272463764187311,2.455146977965898
SEBOX,0.06324626865671641,0.061730701754385955,2.455126637569409,0.5249404661387487,2.455126637569409
UBA2,11.10587276119403,11.385281578947366,-2.4541230343392906,2.4001643546663792e-08,2.4541230343392906
DNASE1L1,8.917910074626866,8.704317543859649,2.4538687805328663,2.642660854924808e-06,2.4538687805328663
FBLN1,12.541175,12.856641228070176,-2.453721951744371,0.004597224009540778,2.453721951744371
KDM4A,10.55326567164179,10.300649122807016,2.452433296416707,1.766478933183091e-10,2.452433296416707
TTF1,8.518604104477612,8.732748245614035,-2.4521964347704075,7.514867991417269e-11,2.4521964347704075
