gene,r_pc1,r_pc2,r_depth,clean_r,dominant
SEMA5A,-0.3485,0.653,-0.3485,0.6967,PC2
YWHAZ,0.4375,-0.6259,0.4375,-0.696,PC2
GATA5,-0.6463,0.5311,-0.6463,0.696,depth
ADAP2,-0.2213,0.6785,-0.2213,0.6957,PC2
PFKP,-0.6201,-0.5456,-0.6201,-0.6955,depth
APP,0.2971,-0.6639,0.2971,-0.6952,PC2
IL6R,0.3146,0.6597,0.3146,0.6949,PC2
RNF43,0.0312,-0.6932,0.0312,-0.6935,PC2
AMDHD2,-0.4407,0.6224,-0.4407,0.6934,PC2
REG3G,0.263,0.6689,0.263,0.6933,PC2
MLLT11,-0.5897,-0.5597,-0.5897,-0.693,depth
HSD11B1,-0.6001,-0.5541,-0.6001,-0.6927,depth
CRTC3,0.6963,-0.4971,0.6963,-0.6925,depth
DENND5B,-0.6434,0.5298,-0.6434,0.6921,depth
HPRT1,0.4406,-0.6208,0.4406,-0.6916,PC2
ACOT4,-0.5168,0.5916,-0.5168,0.6911,PC2
CDKN2D,-0.6402,-0.5307,-0.6402,-0.6909,depth
ADA,-0.4299,-0.6237,-0.4299,-0.6908,PC2
ITGA10,0.1818,-0.6792,0.1818,-0.6907,PC2
COA7,0.3834,0.6375,0.3834,0.6903,PC2
HOXA2,-0.5488,-0.5765,-0.5488,-0.6896,PC2
ZNF341,0.17,-0.6794,0.17,-0.6895,PC2
TMSB15A,-0.5721,0.5655,-0.5721,0.6895,depth
CES2,-0.543,0.5787,-0.543,0.6891,PC2
JUP,0.2479,-0.6674,0.2479,-0.6889,PC2
EXT2,-0.46,-0.6116,-0.46,-0.6888,PC2
CPNE4,-0.3116,0.6542,-0.3116,0.6885,PC2
ZNFX1,0.6197,-0.54,0.6197,-0.688,depth
ZNF333,0.0466,-0.6872,0.0466,-0.688,PC2
PITX1,-0.5354,-0.581,-0.5354,-0.6878,PC2
PHYH,-0.1726,0.6769,-0.1726,0.6873,PC2
APOE,-0.0471,0.6865,-0.0471,0.6873,PC2
HDGFRP3,0.6866,-0.4996,0.6866,-0.6872,depth
MOGAT1,-0.3722,0.6377,-0.3722,0.6871,PC2
GRIA3,-0.3542,0.6425,-0.3542,0.687,PC2
PAMR1,0.3845,-0.6342,0.3845,-0.687,PC2
MANEAL,0.536,-0.5799,0.536,-0.6869,PC2
CH25H,-0.4221,-0.6227,-0.4221,-0.6869,PC2
KCNJ4,-0.4611,-0.6095,-0.4611,-0.6868,PC2
C12orf56,-0.6327,0.5317,-0.6327,0.6866,depth
PPP1R14B,0.3548,-0.6416,0.3548,-0.6862,PC2
RITA1,-0.1163,0.6812,-0.1163,0.6859,PC2
BEND3,0.4398,-0.6156,0.4398,-0.6855,PC2
ACAA2,-0.4567,0.6097,-0.4567,0.6853,PC2
HSD17B10,0.6374,0.5279,0.6374,0.6851,depth
KLF15,0.5685,0.5634,0.5685,0.6848,depth
SCLY,0.5309,0.5802,0.5309,0.6847,PC2
ST6GALNAC3,-0.5182,0.5849,-0.5182,0.6839,PC2
