sample_id,depth_v2_metabolic,depth_pure_metab
TCGA-5C-A9VG-01,0.5457918062422938,0.33257153950044405
TCGA-CC-5264-01,0.5395882134956198,0.2704303399837418
TCGA-DD-A4NS-01,0.31838478437757495,0.12302411562818116
TCGA-QA-A7B7-01,0.3829781077430456,0.20353484103828734
TCGA-DD-AAEB-01,0.14239735378709437,0.06975443178717944
TCGA-DD-A3A6-01,0.46804442612463976,0.7318050396046001
TCGA-UB-A7MF-01,0.3942411819608388,0.29816610635130614
TCGA-DD-AACW-01,0.4604599442197459,0.2625582742871635
TCGA-G3-A7M6-01,0.5259582374287284,0.29222176142032064
TCGA-GJ-A6C0-01,0.3655598457166005,0.18763305655800677
TCGA-DD-A3A3-01,0.33193283396726914,0.17716618576612886
TCGA-WX-AA44-01,0.42240130982648233,0.21340286540362552
TCGA-MR-A520-01,0.11339526333031627,0.0358584298814183
TCGA-DD-AADK-01,0.3608157029631517,0.14880098356693594
TCGA-DD-A73D-01,0.15348556057101415,0.0992314412025832
TCGA-BW-A5NP-01,0.5461380272716314,0.2639759755518698
TCGA-DD-A4NN-01,0.5812736142262199,0.337868800865864
TCGA-ZP-A9CZ-01,0.3869638910716347,0.13897707853575436
TCGA-CC-A8HS-01,0.5393765578362119,0.32743781379892867
TCGA-G3-A6UC-01,0.13916431484309943,0.04823125590123023
TCGA-CC-A7IH-01,0.23419883309170675,0.10168565268643248
TCGA-BC-A69I-01,0.12139628314578665,0.1271313314921384
TCGA-K7-A6G5-01,0.2169070346200053,0.06404480171315008
TCGA-BC-A10U-01,0.3506904048846643,0.17087653351448107
TCGA-DD-A4NG-01,0.20872727914763223,0.21912190760240668
TCGA-UB-A7MC-01,0.2844208045719889,0.14809860377054407
TCGA-UB-AA0U-01,0.3529578780956735,0.13760173183096958
TCGA-DD-A4NB-01,0.265901193727057,0.2378720362841349
TCGA-ED-A8O6-01,0.5464832598179001,0.20130887357500304
TCGA-DD-AACQ-01,0.2086934402255775,0.1666810789826395
TCGA-G3-AAV6-01,0.5949838905840725,0.3911614267605277
TCGA-DD-A3A4-01,0.19142994677998004,0.21355287113977428
TCGA-DD-A1EK-01,0.23255255009320808,0.1257218658358643
TCGA-FV-A3R2-01,0.18616006540184438,0.11235723718848156
TCGA-BC-A10Z-01,0.19600194601157478,0.10147211511023113
TCGA-WJ-A86L-01,0.2711753323742031,0.2015253524402537
TCGA-G3-A25Y-01,0.5045035455402638,0.21631768273499863
TCGA-ED-A82E-01,0.6258605495034795,0.7649874848156993
TCGA-DD-AACU-01,0.319478584595303,0.13674346372071866
TCGA-DD-A4NJ-01,0.3018254607348448,0.2081485468564488
TCGA-2Y-A9H1-01,0.19797635656301005,0.11010068032007303
TCGA-FV-A496-01,0.18023703844597738,0.10899299090866077
TCGA-DD-A4ND-01,0.46440606635330206,0.13766232238296106
TCGA-DD-A1EF-01,0.4306719563125124,0.239630338807301
TCGA-DD-AAEH-01,0.14962804456947146,0.047599467038715204
TCGA-2Y-A9H2-01,0.5452963594700581,0.34566498130828294
TCGA-2Y-A9GW-01,0.32066790174701887,0.16135911078950538
TCGA-ZS-A9CE-01,0.17264935034269832,0.04654354431178809
TCGA-DD-A4NQ-01,0.40249932602932753,0.3087982775815772
TCGA-5C-AAPD-01,0.44241250827887163,0.18598769952994476
TCGA-DD-AAVW-01,0.35980760988263744,0.11544794359790134
TCGA-EP-A2KC-01,0.2678255039901799,0.14608029130529776
TCGA-MI-A75E-01,0.3359587056510967,0.12397532846867143
TCGA-DD-A116-01,0.30025507592528455,0.1419683693788084
