sample_id,s1_depth,stromal_score,immune_score
TCGA-MH-A55W-01,0.7157665843460097,0.1251027508047709,0.5213621190438023
TCGA-A4-7997-01,0.7058941054521097,0.3684166565020711,0.4549738076391824
TCGA-Y8-A896-01,0.7578677635356494,0.3209219199949092,0.7231300930167271
TCGA-AL-A5DJ-01,0.6423230476498516,0.4208580156234259,0.6316158863499882
TCGA-G7-A8LE-01,0.7731098130756691,0.6963521475581105,0.4082104558475785
TCGA-B1-A47N-01,0.6967212413838388,0.5181921957117781,0.5568519996644453
TCGA-2Z-A9J8-01,0.4922330289532671,0.19596169449998146,0.45611336429184274
TCGA-A4-7732-01,0.7108461696742945,0.2922047273325097,0.35245357677098477
TCGA-UZ-A9PS-01,0.8021143225155443,0.23514355944697524,0.31437892916559024
TCGA-UZ-A9PU-01,0.7452712132590029,0.16498265831578832,0.36924874810731434
TCGA-F9-A7VF-01,0.7223618989357795,0.2819979264224687,0.47419759679794543
TCGA-B9-A5W7-01,0.7078437297968421,0.2312323997815055,0.45523710170543125
TCGA-2Z-A9J7-01,0.73739354889512,0.2496811410510014,0.22328665746937018
TCGA-UN-AAZ9-01,0.7922642139599743,0.2658932293185834,0.33890016171405263
TCGA-DZ-6135-01,0.655748856377969,0.3885438818856299,0.6508986467349459
TCGA-A4-A6HP-01,0.8012401637101073,0.32233391492498537,0.6317246924152204
TCGA-BQ-7055-01,0.5813527056550769,0.44713172785753347,0.31213968373149975
TCGA-DW-7838-01,0.7709780556926326,0.6041442382651954,0.6899483960241763
TCGA-DZ-6134-01,0.6212748144042222,0.6983859505841551,0.8196909077166754
TCGA-HE-7128-01,0.6272539302083324,0.42784971070676653,0.7613534145585836
TCGA-A4-A57E-01,0.3004402948282412,0.4727153524286314,0.3754614913740046
TCGA-AL-3468-01,0.636208357047381,0.16765020178932252,0.3016261938558627
TCGA-5P-A9K2-01,0.7626871230978787,0.240068968991796,0.3756907316335777
