gene,r,p_value
VGLL1,0.8368123880470023,0.01888464948736279
SF3B5,-0.836642838787542,0.018931918986842676
MYH10,-0.8362899168755031,0.019030527081080398
RCBTB2,-0.83596882132904,0.019120495433292833
ANGPT2,0.835204047737517,0.019335749124141665
VANGL1,0.8350860014487643,0.019369096362259922
OIP5-AS1,-0.8348125964600648,0.019446456542092608
TOR1A,0.8343035632767113,0.01959095411449224
LNX2,0.8341971008846962,0.019621251976803665
MMP13,0.8341242582987866,0.019641997363938547
AP1S2,-0.8338059837435747,0.019732787026304068
CCR2,-0.8336194712158264,0.019786101157352777
GJB6,0.8335871174090195,0.01979535771265346
TNXB,-0.8334989919177473,0.019820583222777424
SERPINH1,0.8327076394210347,0.0200479206552249
N4BP1,0.8325083903077252,0.020105392034967553
LINC00673,0.832327354110185,0.020157690941734592
ENC1,0.8322346580409432,0.020184499389448263
PIK3CG,-0.8320966922282974,0.02022443760306042
DNPH1,-0.8311814920356304,0.02049050207467507
PGM2L1,0.8310451919730545,0.020530295449044365
WSCD1,-0.8310047111997878,0.020542122403340503
BOLA1,-0.830870625744482,0.020581324667487917
CXCL17,0.8307492809353221,0.02061683846988906
TACSTD2,0.8306828877189956,0.020636284350004787
PRMT2,-0.8302869668607329,0.020752461036881067
GPR110,0.8302365814726668,0.02076727232278847
DNMBP,0.8291834234818372,0.021078228879332438
CDH1,0.828938511809602,0.021150916840269037
RWDD3,-0.8287215517705719,0.021215427277812206
ERBB3,0.8287009121950197,0.021221569996748155
CEACAM6,0.8283402889143401,0.021329060565074557
UBAP1,0.8280238660264302,0.02142362952912793
SCARNA20,-0.8280069572888805,0.02142868968756008
CP,0.8273200527717935,0.02163482650504818
GATC,-0.8264360095707496,0.0219017673944783
RBKS,-0.8259688965150713,0.022043562013577607
TRIM5,0.8255038491644717,0.022185243562974424
SLC7A5,0.8254682248109151,0.022196118052827788
ZBTB18,-0.8251759011301736,0.022285464894723397
ICAM3,-0.8241806300675675,0.022591184653165727
RCOR1,0.8237517042256317,0.02272366470443289
WNT7B,0.8237504220736593,0.022724061371784045
LAMC1,-0.822963434977682,0.022968274513613593
MPZL2,0.8228955104811185,0.022989421549629865
PKP3,0.8226428140787057,0.023068190375195946
USP6NL,0.8220486460269856,0.023253999848204355
TRABD2B,-0.8216771608937993,0.02337059900552519
ZNF331,0.8203335897906299,0.02379505889451799
PECR,-0.8200979147186218,0.023869957593166385
SMIM22,0.8197360900850644,0.02398520560692587
ATP6V0C,0.8196917768185086,0.02399934173745727
KCNE3,-0.8196146571857135,0.024023954442853653
SMAD1,0.8193790775546421,0.024099227695994135
AP1S1,-0.819243178463139,0.024142711045052882
GIMAP8,-0.8192000569397209,0.024156517783787086
RPN1,0.8191789192551021,0.024163287316472683
ARSE,-0.8191565639880805,0.02417044795408929
HRASLS2,0.8186316772283042,0.024338918690005814
GJB3,0.8183635434716894,0.024425235023282598
MST1R,0.8179592264751357,0.024555716450447712
FIG4,-0.817643100168588,0.024658009817596124
OCLN,0.81754245182086,0.02469062827658827
SGMS1,0.8169740277795087,0.024875301114194445
BCL2,-0.8169068164202513,0.024897188366778743
IL20RA,0.816747959320836,0.024948962972225548
IFI27,0.8160099548757979,0.02519028740206099
SERPINB5,0.815692803468735,0.025294396496788264
TGFB2,0.8154233135777125,0.02538305003749497
ERMP1,0.8153089052551421,0.025420739499866323
AMICA1,-0.8150630511215647,0.025501837556728035
CRYAB,-0.8149227408110725,0.025548185817938315
CASP14,0.8143473211160513,0.025738757803988755
TSPYL1,-0.8140918344092616,0.025823627347445997
DHCR24,0.8135182882134089,0.02601472485863688
EDNRB,-0.8134770131906921,0.02602850768016778
IRF8,-0.8123331453080953,0.02641210937268142
SSFA2,0.8122103400597603,0.0264534802981731
TDRD9,-0.8119339549561524,0.026546722700178868
LIPT1,-0.811473220795459,0.026702567775935847
SNX12,0.8112127142988121,0.026790911958324694
PNMAL1,-0.8108874292937218,0.026901454309627693
IGJ,-0.8101470261888695,0.027154020814045325
CD55,0.8101267018373686,0.027160972556063038
LGALS2,-0.8086172408679302,0.027680062945459584
TFAP2C,0.8083538985288465,0.02777118938032307
CALML4,-0.8082338387198706,0.027812790404696284
PCDHGA10,0.8082176871341191,0.027818389635854285
DIS3L,-0.8070450881065243,0.028226581836203413
MYO1B,0.8059038804513206,0.02862705074393966
SNORD94,-0.8058631185037126,0.028641413310578043
STS,0.8057015010264765,0.028698399346912987
BTBD6,0.8055166070928383,0.028763670480804197
KIAA1217,0.805231040232994,0.02886464441075731
HAS2,0.8052079836462769,0.02887280566811977
RASGRP1,-0.8048487839665712,0.029000117261491026
