,OLIG2,SOX10,MBP,MOG,PLP1,PDGFRA,SOX2,EGFR,NES,CDX2,SPI1,KLF4,IRF8,OLIG1,GFAP,MKI67
MGH100-P5-E06,0.0,0.0,0.0,0.7820123381703955,0.0,0.0,1.5874824836393593,1.0000898313899984,1.285467358267223,0.0,0.0,0.0,0.0,0.0,1.3757172700483942,1.221432276090393
MGH100-P5-E08,0.7293924297207693,0.0,0.0,0.5577527482844278,0.0,0.0,1.3580234111354028,1.6102659289853165,1.5612093287379754,0.0,0.0,0.0,0.0,1.6880737426496852,1.844826925539961,0.0
MGH100-P5-E11,0.0,0.0,0.0,0.0,0.0,0.0,1.082469603391312,0.0,0.0,0.0,0.0,1.0248209091236917,0.0,0.0,1.0056882549141828,0.0
MGH100-P5-E12,0.8718027791005845,0.0,0.3619741657481569,0.0,0.0,0.0,1.1745375099951347,0.5261637104565215,1.4565917819389769,0.0,0.0,0.0,0.0,0.7840379690547566,1.780976259343769,0.23351708435423807
MGH100-P5-F04,1.6529457488037451,0.0,0.0,0.6044554785242292,1.3553548235082653,1.4396564340070706,1.6901475250380893,1.8399346794881895,1.246959858509628,0.0,0.0,0.0,0.0,1.6031283697405978,1.6978365854964867,1.49730463296902
MGH100-P5-F06,1.4200133330971887,0.0,0.0,0.9385635544399918,1.2484426455860218,1.151780387898888,1.6513563434423406,1.9287004933301777,1.5588806778120081,0.0,0.0,0.0,0.0,1.5688572754709538,1.9155876613618794,0.9155908340139095
MGH100-P5-F09,1.5365124020328114,0.9452180829267013,0.0,0.7417620198439442,0.0,1.5971325788126793,1.5488335945190759,1.497683117822266,0.9720638690870762,0.0,0.0,0.0,0.0,1.7262272119378603,0.0,1.285792463094901
MGH100-P5-F11,0.21017020838171485,0.0,0.0,0.5401897353796441,0.0,0.0,1.6719305202063297,1.50793698060762,1.1728304226687365,0.0,0.0,1.0178471946171954,0.0,1.5396108013384124,1.9381296947570663,0.7767557162728529
MGH100-P5-F12,0.0,0.0,0.0,0.0,0.0,1.9340066054283775,1.6500703733565807,0.0,1.6207424954167235,0.0,0.0,0.0,0.0,2.0903976776513034,1.5940449688945937,0.0
MGH100-P5-G01,0.0,0.0,0.0,0.7732124010414922,0.0,1.0983717504352886,1.1765172379088742,1.4658620176237047,0.6743384453931707,0.0,0.0,0.0,0.0,0.0,2.043861067427175,0.0
MGH100-P5-G02,1.4216726944739002,0.0,0.0,0.4305098234729405,0.0,1.891551717447433,1.082722142221515,1.7402705784083992,1.451912672318645,0.0,0.0,0.0,0.0,1.3851195726598857,2.201983106603423,0.0
MGH100-P5-G03,1.1030303768005079,0.0,0.0,0.5845056764299428,0.5029055450322042,1.872415020443484,1.4217908134274686,1.7389307824567442,1.5007474897254924,0.0,0.0,0.0,0.0,1.7879656021903236,2.0247247355900955,1.1887676215998149
MGH100-P5-G06,0.9567114439099211,0.0,0.0,0.8492943504375334,0.0,1.812262304383498,1.6869408031472333,1.6507741158755032,1.5891458868736812,0.0,0.0,0.0,0.0,1.2013260883399692,1.8205227153636208,1.6011723819065966
MGH100-P5-G09,1.37646681476141,0.0,0.0,0.7427227867102092,0.0,0.0,1.6017516334259092,1.7748044216624346,1.4140797794057371,0.0,0.0,0.0,0.0,1.234665256630613,2.118848455973181,0.0
MGH100-P5-G12,1.10750597544432,0.0,0.0,0.49620153350848367,0.34460071493845523,1.8554511843583292,1.4585756642092538,1.42589126706077,1.0879810131384284,0.0,0.0,0.0,0.0,1.03964943381226,1.5537156393922407,1.4553869979581175
MGH100-P5-H01,0.4888287393947767,0.0,0.0,0.0,0.7518949367355163,0.2401388504499117,0.2996343171432109,1.4827182664437188,1.2141323407144553,0.0,0.0,0.0,0.0,1.706762147380447,1.2191548196898518,0.8960706707848367
MGH100-P5-H03,0.0,0.0,0.6628707973584018,0.4933795585133957,0.1345714250179078,0.0,0.0,0.8458616794693931,1.1249216023822912,0.0,0.0,0.0,0.0,0.0,0.4140847419725128,0.0
MGH100-P5-H04,1.3707933381687571,0.0,0.0,0.1265252040537662,1.433675688610599,1.603721116834012,1.3986687307580787,1.3537307885652845,1.3562640872280414,0.0,0.0,0.0,0.0,1.8990275113886759,1.875179997391333,0.0
MGH100-P5-H06,1.0218063230104693,0.0,0.18576621445952884,0.7323560555280575,0.0,1.9946476549436996,1.580786707734763,1.4259687411529274,1.4039073777739817,0.0,0.0,0.0,0.0,1.5762184255672351,1.8462416506432249,0.8736384168821197
MGH100-P5-H07,1.0932789001013745,0.0,0.0,0.7699365337276247,0.0,0.0,1.6572972274211673,1.65420009558428,0.978640873140341,0.0,0.0,0.0,0.0,1.2859873482015536,0.0,0.8804432233734697
MGH100-P5-H10,0.8217210163583205,0.0,0.0,0.787486612683776,0.0,1.3833931631431604,1.1587243227609862,1.6328827035515192,0.39222120825627826,0.0,0.0,0.0,0.0,1.7872516974864558,0.8363862509528046,0.5986541677067939
MGH100-P5-H11,0.0,0.0,0.0,0.7568679381988861,0.0,0.0,0.0,1.556551232518905,1.391561550101952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
