gene,r,p,abs_r,novel
SNAR-F,-0.053242622961595265,0.21931854083652014,0.053242622961595265,True
FZD7,0.05323434681853441,0.2193902968707913,0.05323434681853441,True
OR4D2,0.05323356384364101,0.2193970863105149,0.05323356384364101,True
LOC121838,0.053221556296665515,0.2195012266468523,0.053221556296665515,True
RPL36AL,-0.05320383264496497,0.21965500687826475,0.05320383264496497,True
HEXIM1,0.0532028653629793,0.21966340177159907,0.0532028653629793,True
HIST1H4C,0.0531998258731676,0.21968978253613455,0.0531998258731676,True
ARPM1,-0.053197867393833996,0.21970678204469798,0.053197867393833996,True
CFDP1,0.05319258038669726,0.2197526777190591,0.05319258038669726,True
GAS1,0.053183827765263536,0.21982867292471667,0.053183827765263536,True
ZNF575,0.05318327678455576,0.21983345747971775,0.05318327678455576,True
WDR81,0.053179877153934414,0.21986298052415854,0.053179877153934414,True
CLDN22,-0.05317660889638394,0.21989136537436846,0.05317660889638394,True
UNKL,0.053167521186642766,0.21997030600872833,0.053167521186642766,True
FAM200A,-0.053159985738546946,0.2200357782567076,0.053159985738546946,True
ZNF530,0.053153142639890315,0.22009524705870692,0.053153142639890315,True
HARS2,-0.05314637839250981,0.2201540419168096,0.05314637839250981,True
RBM10,0.053140112703989974,0.22020851332333832,0.053140112703989974,True
STX1B,0.05311793718430369,0.2204013759230413,0.05311793718430369,True
PRKAG2,-0.053114236096857614,0.22043357639266256,0.053114236096857614,True
TAS2R46,0.05311190367662468,0.2204538708127391,0.05311190367662468,True
PABPC5,0.05310069370986762,0.22055142753041507,0.05310069370986762,True
OR6Q1,-0.05309113385918135,0.2206346482091984,0.05309113385918135,True
REG3G,-0.05308803545208254,0.22066162536673875,0.05308803545208254,True
CCBL2,-0.05306908417949134,0.2208266813146018,0.05306908417949134,True
SCARNA17,-0.05306860078940649,0.22083089255061883,0.05306860078940649,True
ZNF823,-0.05305516141461127,0.22094799775043697,0.05305516141461127,True
KRTAP4-8,0.05304784867560165,0.22101173660595497,0.05304784867560165,True
UGT2B7,-0.0530438192701913,0.22104686308296023,0.0530438192701913,True
TUBA8,-0.0530396467393907,0.22108324146606692,0.0530396467393907,True
CPXM2,-0.05302326458149658,0.22122611137465795,0.05302326458149658,True
FCF1,0.052968108763162415,0.22170761405004966,0.052968108763162415,True
PNMAL2,-0.05295721241253903,0.22180282618408942,0.05295721241253903,True
FAM170B,0.052956792588917605,0.22180649518032672,0.052956792588917605,True
AGAP1,-0.052944614414005026,0.22191294369269832,0.052944614414005026,True
ARPP19,-0.052943060896083374,0.2219265255000728,0.052943060896083374,True
DDX43,0.0529411197473415,0.2219434970484738,0.0529411197473415,True
XIAP,0.05291969889552399,0.22213084205426115,0.05291969889552399,True
LOC100189589,0.05291804401815254,0.22214532017345195,0.05291804401815254,True
OGFOD1,-0.05289295691815115,0.22236488364965892,0.05289295691815115,True
OR4N4,-0.05288929060130094,0.22239698439896635,0.05288929060130094,True
TAP1,0.052886198120475084,0.22242406345036153,0.052886198120475084,True
DOC2B,0.05286561413973269,0.22260436534914155,0.05286561413973269,True
FBXO47,0.05283203772764152,0.22289869610713886,0.05283203772764152,True
