,SLC2A1,SLC13A2,LOXL2,RUNX1,SLC22A8,SUCLG1,NAP1L1,LDHD,CYP17A1,ABAT,CAV1,FBP1,OGDHL,ATP5A1,GOT1,CTHRC1,SLC2A3,ENAM,LOX,AIFM1,PECI,TMEM171,SLC22A6,FAM115C,ACAT1,IVD,SLC34A1,PEPD,TGFBI,HIBCH,SEPHS2,PLOD2,TST,HSDL2,BPHL,OSTBETA,G6PC,ACY1,IFI16,PCCA
CAV1,0.4858215482038721,-0.4629021821712245,0.5944914447112685,0.4419668223556107,-0.25569948066751264,-0.5586157449828332,0.5706534160494946,-0.44940624234015647,-0.39230860276834023,-0.3979408078132593,0.0,-0.36482115471850296,-0.5188039159559981,-0.4058851921185886,-0.4597489925571166,0.5716785394090608,0.49046741511756586,-0.4322575216547178,0.614452651243587,-0.4754530916231135,-0.3087835659219553,-0.4124799814590933,-0.25026906285660955,0.560573403406101,-0.3463016673305273,-0.49680788887148897,-0.28286040833060383,-0.3638295607205571,0.49439610638724546,-0.37698987805145995,-0.4570694591952557,0.46364369235648056,-0.4370648559094004,-0.38216128454258225,-0.3940886375790508,-0.4048284693607654,-0.22172616465625014,-0.41256971392736036,0.5424449264265907,-0.39675354155103193
FBP1,-0.29707253895185204,0.518992970847995,-0.39166364001458004,-0.46421198387232393,0.49349981535432974,0.22508429185259912,-0.5117069346163483,0.3415692554182394,0.2989539786920001,0.4813600927791713,-0.36482115471850296,0.0,0.2806740929396887,0.21297021400455585,0.29902163102864343,-0.5029067649402381,-0.2733842222570647,0.42566068764887216,-0.25681756603744776,0.4641364634660651,0.4100640120898313,0.5361788255771364,0.6560618191535758,-0.09410112104522785,0.3888330827947165,0.33975196359810583,0.4866470912084273,0.4898433850049344,-0.4340218410142362,0.5100654150429075,0.4085886153669171,-0.3425554613290293,0.47999710730183315,0.45993570519239424,0.5204217429985506,0.37945564230944107,0.5780226791307295,0.4474672984659124,-0.23939393926632163,0.3455224140695068
OGDHL,-0.3920913813194869,0.3390127751176392,-0.5376841223513041,-0.5256738941121205,0.2698348086274485,0.5762875639714939,-0.45575124188916305,0.5470169746841773,0.45209387456563654,0.43666162687659976,-0.5188039159559981,0.28067409293968865,0.0,0.6643106619176414,0.6785239857460543,-0.5004335626576507,-0.48099020995107944,0.5659844232675773,-0.5266826349442623,0.49248459229800046,0.38748281589393957,0.5160827096769615,0.20834444251082296,-0.4645256290592807,0.5977771665764551,0.6403882325615623,0.3449566987144262,0.4030421062299535,-0.4552225419189895,0.4708687296639793,0.3907641369673736,-0.48658261307745804,0.3396906117454748,0.409800461247526,0.3760513807981885,0.44139210702403286,0.2846640632380855,0.44120469090492154,-0.6574254644828579,0.5811120033126707
ATP5A1,-0.5173914670337084,0.2624322068438711,-0.5651641636020793,-0.6234583705589639,0.20983971838485485,0.7360728370358797,-0.40749845397071277,0.5833106015966756,0.5042669649284733,0.32044251309828325,-0.4058851921185886,0.21297021400455585,0.6643106619176414,0.0,0.7144575099063215,-0.4321508685139311,-0.5539418863899541,0.4619952879521951,-0.5405361840696153,0.49257913554277094,0.5599001115119188,0.43730727580160533,0.11672526830308616,-0.6094524042266822,0.6783910379674424,0.5946105466156238,0.1410454709287647,0.3849935131003715,-0.4737074351372198,0.42724629822714,0.368745316915656,-0.45293511056688823,0.3484612225450391,0.4741961688281026,0.3397725970029378,0.41060490187782817,0.12474538949660424,0.3722086731041819,-0.6755264377903666,0.6223662629695611
GOT1,-0.48012986012965075,0.38895522717157327,-0.5691234152230557,-0.6387078004728002,0.2708373016106922,0.6722069435935769,-0.4821406658764264,0.6382492239806976,0.56734881801194,0.399173544118907,-0.45974899255711654,0.2990216310286435,0.6785239857460542,0.7144575099063216,0.0,-0.48051581189991405,-0.4859128744709554,0.5286670203998426,-0.4902827827040838,0.5689312709892385,0.5411796598850166,0.5934474565479402,0.31197360280468167,-0.5025045697358137,0.7219472930186055,0.598824864599113,0.1619479919053691,0.4298554671672345,-0.5597888595021804,0.5324411899702037,0.49851017911178735,-0.44229536725279206,0.4824054058552685,0.5569610411299932,0.4741911067115405,0.4939482561357584,0.2924975860610707,0.470266007865534,-0.6404620229196302,0.6329550105186112
CTHRC1,0.45562989584327,-0.43658825112309924,0.621573372777867,0.6611390306221454,-0.35680760580033255,-0.40456967151957146,0.6252368256255806,-0.5542824412069136,-0.27999498587040744,-0.44599730977634344,0.5716785394090608,-0.5029067649402381,-0.5004335626576507,-0.4321508685139311,-0.4805158118999141,0.0,0.41187868276023815,-0.5940975659116937,0.5505218088955836,-0.39535243058355934,-0.4440530867653478,-0.5733837174483917,-0.4098972905084494,0.3806069398929299,-0.5278380595372995,-0.5403151233912385,-0.3807502678727463,-0.3070384282338164,0.6376496953790802,-0.5951448781423536,-0.39064890430448634,0.5556416366292657,-0.35566028602700006,-0.5311860327661292,-0.4804932769141659,-0.3434489601047345,-0.440774282317353,-0.35675335740653497,0.5603982298856325,-0.5193369259757509
SLC2A3,0.5931652797816996,-0.34741021476003187,0.6104969459182225,0.5219595478357739,-0.14281201704757981,-0.5390191249359004,0.4445533793477455,-0.4557990649399408,-0.41894850198342526,-0.4032446556084943,0.49046741511756586,-0.27338422225706477,-0.4809902099510794,-0.5539418863899541,-0.4859128744709554,0.4118786827602382,0.0,-0.36354611029910394,0.5319998968482961,-0.5239928899279657,-0.44052312887821177,-0.4137110964070885,-0.16611790419630423,0.53779449552656,-0.43740027929288183,-0.46081244119503395,-0.15365313006837256,-0.40753033911653,0.4524991337649818,-0.32577913770922523,-0.4009469816997291,0.4039916783919252,-0.46228446073546725,-0.435842043637674,-0.2875069776434857,-0.44478816821407274,-0.16199405336237688,-0.44744789686576664,0.5010715674559796,-0.3637525372524005
ENAM,-0.4388975122814618,0.39557035540611246,-0.5589023298023935,-0.550463151836817,0.3097749201443875,0.3396515890141283,-0.5536249630759212,0.5242599263917146,0.31870615364373683,0.46365230921108025,-0.43225752165471787,0.4256606876488722,0.5659844232675773,0.461995287952195,0.5286670203998425,-0.5940975659116937,-0.36354611029910394,0.0,-0.46323383423804515,0.3606465809029047,0.4364275518987107,0.5757767902338968,0.3887188825247286,-0.32642662517721105,0.6483009740417585,0.5486125248526956,0.32859928514880044,0.24722210678798973,-0.5496755376616742,0.5835264685439759,0.39403988160655984,-0.48408883858035123,0.199093509754451,0.5181943923002886,0.4465103799562491,0.27101443582076196,0.5052915349025461,0.2058595830354563,-0.457755808056508,0.63846711973628
LOX,0.5992694270758839,-0.3445206933919935,0.621534280893554,0.507700021800718,-0.17945107881266442,-0.5149692769537749,0.4894650777242811,-0.45733021718752437,-0.3243932065882784,-0.24985782516088276,0.6144526512435871,-0.25681756603744776,-0.5266826349442623,-0.5405361840696153,-0.4902827827040838,0.5505218088955836,0.5319998968482962,-0.4632338342380451,0.0,-0.3301044256637115,-0.2867768085198368,-0.3387795104567542,-0.11832491789340305,0.5845947571542566,-0.3910803815656442,-0.4677882109631344,-0.16425477495298269,-0.22162540053508906,0.5937314580475047,-0.29983760410972476,-0.2855666643087278,0.6215352450438969,-0.3623661042422562,-0.36533007582258287,-0.2261144220950913,-0.3023052869845176,-0.12827239440796334,-0.23234344772452278,0.5634341291719753,-0.39240613810754205
AIFM1,-0.4467256172202383,0.4156436501628737,-0.5499001551980616,-0.4564553676062706,0.30119003656290244,0.5799882700691926,-0.46521255461269817,0.38190633864126056,0.5196228165344613,0.5429350164483869,-0.4754530916231135,0.46413646346606513,0.49248459229800046,0.49257913554277094,0.5689312709892386,-0.39535243058355934,-0.5239928899279657,0.36064658090290463,-0.3301044256637115,0.0,0.5344544774501538,0.5845787756522309,0.3977089942271418,-0.3487827090713694,0.5828370947470747,0.5222317133341916,0.3119477737570231,0.648789149438573,-0.3320468736081547,0.5339835471904596,0.6629929775493313,-0.19773267167802405,0.6349864458260007,0.5320483853185964,0.44363968024257067,0.5533789260490806,0.25700775665109843,0.6631187802985583,-0.3888356065426072,0.3617708548848465
